# camera_optical trajectory from onboard odometry (NOT ground truth)
1766747348.311444 -12.988320 13.238074 0.306925 0.172099 0.685209 -0.678066 -0.202723
1766747348.443761 -12.988343 13.238123 0.306958 0.172134 0.685164 -0.678100 -0.202731
1766747348.585359 -12.988456 13.238184 0.306969 0.172272 0.685115 -0.678096 -0.202795
1766747348.725833 -12.988392 13.238162 0.306976 0.172204 0.685123 -0.678099 -0.202815
1766747348.857749 -12.988497 13.238175 0.306934 0.172316 0.685147 -0.678041 -0.202833
1766747348.998067 -12.988488 13.238157 0.306935 0.172303 0.685147 -0.678034 -0.202866
1766747349.145230 -12.988431 13.238153 0.306946 0.172246 0.685148 -0.678023 -0.202948
1766747349.280422 -12.988492 13.238199 0.306960 0.172314 0.685114 -0.678028 -0.202990
1766747349.426629 -12.988419 13.238173 0.306978 0.172231 0.685109 -0.678039 -0.203040
1766747349.558932 -12.988483 13.238225 0.306979 0.172311 0.685092 -0.678049 -0.202995
1766747349.703973 -12.988539 13.238174 0.306931 0.172352 0.685137 -0.677988 -0.203011
1766747349.845102 -12.988448 13.238192 0.306953 0.172281 0.685130 -0.678037 -0.202933
1766747349.985797 -12.988574 13.238218 0.306931 0.172404 0.685127 -0.678012 -0.202923
1766747350.126516 -12.988464 13.238173 0.306931 0.172284 0.685156 -0.678013 -0.202925
1766747350.258778 -12.988468 13.238191 0.306951 0.172298 0.685132 -0.678045 -0.202885
1766747350.405367 -12.988544 13.238206 0.306950 0.172373 0.685112 -0.678029 -0.202943
1766747350.551154 -12.988474 13.238192 0.306956 0.172305 0.685122 -0.678034 -0.202950
1766747350.687914 -12.988562 13.238238 0.306951 0.172399 0.685107 -0.678034 -0.202921
1766747350.829689 -12.988503 13.238193 0.306955 0.172329 0.685116 -0.678037 -0.202941
1766747350.968829 -12.987971 13.237871 0.306946 0.171335 0.685409 -0.678170 -0.202347
1766747351.109750 -12.966867 13.225006 0.308959 0.143247 0.692012 -0.684700 -0.178284
1766747351.249894 -12.921958 13.204601 0.309584 0.087851 0.704226 -0.693635 -0.123362
1766747351.385148 -12.857192 13.188590 0.304410 0.012830 0.714017 -0.698402 -0.047423
1766747351.532590 -12.778121 13.188017 0.292855 -0.075574 0.716852 -0.691655 0.045007
1766747351.672774 -12.697314 13.208746 0.282470 -0.164377 0.708833 -0.668975 0.151683
1766747351.811220 -12.603925 13.264644 0.289260 -0.270801 0.667128 -0.643126 0.260759
1766747351.952189 -12.542052 13.333369 0.303323 -0.354925 0.620853 -0.594320 0.367905
1766747352.097151 -12.522271 13.381786 0.296392 -0.421683 0.587589 -0.563260 0.399575
1766747352.233258 -12.512365 13.374705 0.296871 -0.425551 0.582215 -0.569475 0.394500
1766747352.374365 -12.493331 13.365619 0.294453 -0.428000 0.582998 -0.562826 0.400195
1766747352.513417 -12.452599 13.354803 0.294914 -0.426789 0.574989 -0.568040 0.405671
1766747352.657905 -12.408563 13.342334 0.299196 -0.419836 0.575167 -0.566577 0.414621
1766747352.798905 -12.350677 13.323964 0.303911 0.419127 -0.568917 0.574972 -0.412399
1766747352.938971 -12.290077 13.309102 0.307992 0.423717 -0.568497 0.574625 -0.408755
1766747353.078180 -12.221345 13.291572 0.308252 0.422778 -0.566535 0.575101 -0.411771
