# raw base_link odometry (TUM format), robot's own estimator
1766747348.192328 -12.835005 13.495942 0.306406 -0.011703 0.018810 -0.869053 0.494223
1766747348.241960 -12.834958 13.495922 0.306404 -0.011720 0.018887 -0.869037 0.494248
1766747348.298263 -12.834945 13.495906 0.306403 -0.011746 0.018902 -0.869035 0.494249
1766747348.349175 -12.834996 13.495928 0.306403 -0.011726 0.018830 -0.869087 0.494162
1766747348.398986 -12.835025 13.495959 0.306405 -0.011707 0.018774 -0.869086 0.494165
1766747348.462691 -12.834941 13.495948 0.306406 -0.011792 0.018854 -0.869056 0.494214
1766747348.503921 -12.834887 13.495914 0.306403 -0.011853 0.018930 -0.869083 0.494162
1766747348.562093 -12.834991 13.495950 0.306404 -0.011766 0.018797 -0.869124 0.494098
1766747348.613490 -12.835017 13.495987 0.306406 -0.011736 0.018739 -0.869157 0.494041
1766747348.665212 -12.834972 13.495979 0.306406 -0.011772 0.018777 -0.869105 0.494130
1766747348.720046 -12.834952 13.495956 0.306405 -0.011799 0.018822 -0.869119 0.494105
1766747348.769401 -12.835001 13.495953 0.306405 -0.011749 0.018786 -0.869135 0.494079
1766747348.823180 -12.835036 13.495960 0.306406 -0.011706 0.018749 -0.869168 0.494023
1766747348.877583 -12.834998 13.495927 0.306406 -0.011705 0.018847 -0.869169 0.494017
1766747348.930584 -12.834936 13.495904 0.306404 -0.011754 0.018916 -0.869108 0.494121
1766747348.984426 -12.834983 13.495908 0.306404 -0.011737 0.018855 -0.869170 0.494014
1766747349.038973 -12.835032 13.495939 0.306405 -0.011689 0.018787 -0.869191 0.493982
1766747349.095740 -12.834998 13.495950 0.306406 -0.011729 0.018812 -0.869196 0.493971
1766747349.152524 -12.834919 13.495900 0.306404 -0.011797 0.018929 -0.869181 0.493991
1766747349.203038 -12.834929 13.495897 0.306402 -0.011797 0.018926 -0.869196 0.493965
1766747349.250598 -12.834953 13.495896 0.306402 -0.011782 0.018905 -0.869219 0.493925
1766747349.305348 -12.834946 13.495955 0.306405 -0.011806 0.018860 -0.869226 0.493914
1766747349.363601 -12.834884 13.495951 0.306403 -0.011867 0.018912 -0.869170 0.494009
1766747349.409420 -12.834871 13.495914 0.306401 -0.011887 0.018952 -0.869206 0.493944
1766747349.470640 -12.834934 13.495897 0.306401 -0.011824 0.018908 -0.869219 0.493925
1766747349.516885 -12.834982 13.495955 0.306404 -0.011779 0.018810 -0.869245 0.493883
1766747349.571381 -12.834927 13.495953 0.306404 -0.011833 0.018880 -0.869217 0.493928
1766747349.625513 -12.834901 13.495895 0.306402 -0.011831 0.018950 -0.869210 0.493939
1766747349.677366 -12.834943 13.495869 0.306402 -0.011786 0.018951 -0.869239 0.493889
1766747349.726539 -12.834999 13.495906 0.306403 -0.011729 0.018865 -0.869249 0.493875
1766747349.779481 -12.834999 13.495926 0.306404 -0.011699 0.018855 -0.869207 0.493950
1766747349.858705 -12.834927 13.495945 0.306404 -0.011796 0.018877 -0.869187 0.493982
1766747349.894395 -12.834958 13.495893 0.306403 -0.011761 0.018897 -0.869204 0.493953
1766747349.947156 -12.835033 13.495918 0.306404 -0.011690 0.018828 -0.869222 0.493926
1766747350.003989 -12.835017 13.495953 0.306405 -0.011707 0.018812 -0.869238 0.493897
1766747350.052317 -12.834970 13.495938 0.306404 -0.011732 0.018860 -0.869177 0.494002
1766747350.119974 -12.834948 13.495921 0.306403 -0.011754 0.018904 -0.869184 0.493987
1766747350.160701 -12.835003 13.495932 0.306404 -0.011720 0.018827 -0.869213 0.493941
1766747350.215201 -12.835026 13.495971 0.306406 -0.011721 0.018761 -0.869215 0.493939
1766747350.269218 -12.834958 13.495941 0.306406 -0.011757 0.018855 -0.869172 0.494011
1766747350.320784 -12.834921 13.495920 0.306404 -0.011793 0.018908 -0.869179 0.493996
1766747350.391624 -12.834977 13.495917 0.306404 -0.011758 0.018858 -0.869217 0.493931
1766747350.427150 -12.835027 13.495956 0.306405 -0.011721 0.018777 -0.869246 0.493884
1766747350.485559 -12.834988 13.495971 0.306406 -0.011753 0.018804 -0.869218 0.493931
1766747350.536896 -12.834942 13.495935 0.306404 -0.011783 0.018869 -0.869205 0.493952
1766747350.587789 -12.834970 13.495926 0.306404 -0.011768 0.018858 -0.869208 0.493947
1766747350.647158 -12.835030 13.495951 0.306406 -0.011708 0.018778 -0.869246 0.493885
1766747350.697279 -12.835009 13.495966 0.306407 -0.011729 0.018802 -0.869227 0.493916
1766747350.746093 -12.834935 13.495946 0.306405 -0.011791 0.018882 -0.869187 0.493983
1766747350.803069 -12.834944 13.495905 0.306403 -0.011775 0.018900 -0.869189 0.493979
1766747350.855619 -12.835001 13.495953 0.306405 -0.011758 0.018792 -0.869233 0.493905
1766747350.909524 -12.835052 13.495949 0.306406 -0.011678 0.018780 -0.869254 0.493871
1766747350.961645 -12.835071 13.495956 0.306406 -0.011733 0.018979 -0.869014 0.494284
1766747351.022375 -12.834811 13.496019 0.306609 -0.013034 0.020217 -0.865753 0.499894
1766747351.072173 -12.834631 13.495204 0.307283 -0.013952 0.021020 -0.857635 0.513639
1766747351.124507 -12.833743 13.493492 0.309117 -0.013826 0.021234 -0.845717 0.533031
1766747351.178102 -12.833469 13.491920 0.310508 -0.013139 0.022033 -0.830330 0.556681
1766747351.236472 -12.833274 13.491590 0.311703 -0.013101 0.023072 -0.810632 0.584955
1766747351.289918 -12.833262 13.489974 0.311989 -0.010541 0.022974 -0.785853 0.617897
1766747351.343649 -12.832181 13.488566 0.311648 -0.010280 0.024299 -0.758725 0.650877
1766747351.396453 -12.831314 13.487117 0.310062 -0.009271 0.025318 -0.730091 0.682818
1766747351.451692 -12.829488 13.485610 0.308316 -0.009378 0.027749 -0.697403 0.716080
1766747351.502712 -12.828072 13.484188 0.305472 -0.006146 0.028954 -0.662485 0.748490
1766747351.559854 -12.829544 13.482805 0.303819 0.000475 0.026888 -0.626716 0.778784
1766747351.607993 -12.827662 13.482568 0.302853 0.006985 0.028242 -0.586671 0.809303
1766747351.664169 -12.828666 13.478239 0.301350 0.014008 0.027510 -0.540204 0.840968
1766747351.714225 -12.823648 13.478600 0.294362 0.011508 0.020289 -0.485029 0.874187
1766747351.767210 -12.813400 13.481169 0.296567 0.007392 0.019918 -0.435146 0.900109
1766747351.819875 -12.812678 13.479416 0.301029 0.006897 0.016447 -0.380221 0.924724
1766747351.873875 -12.809418 13.474848 0.303733 0.022994 0.012716 -0.323080 0.946007
1766747351.932554 -12.805497 13.477859 0.308402 0.017155 0.007781 -0.270096 0.962649
1766747351.979442 -12.805897 13.474406 0.312650 0.023347 0.005375 -0.212714 0.976821
1766747352.032985 -12.808811 13.477740 0.313029 0.011973 0.015763 -0.174653 0.984431
1766747352.090355 -12.805993 13.479738 0.310479 0.001682 0.023412 -0.164679 0.986068
1766747352.142944 -12.803360 13.476104 0.308624 -0.002737 0.021918 -0.165576 0.985950
1766747352.200202 -12.797605 13.475668 0.307902 -0.008916 0.022967 -0.167367 0.985587
1766747352.249224 -12.794602 13.471580 0.309399 -0.009272 0.021378 -0.165072 0.986006
1766747352.303571 -12.789363 13.466444 0.309623 -0.007024 0.023187 -0.160723 0.986702
1766747352.364720 -12.780769 13.460826 0.308878 -0.004347 0.023655 -0.159135 0.986964
1766747352.413094 -12.766141 13.455302 0.305957 -0.001688 0.025329 -0.157526 0.987189
1766747352.466499 -12.750725 13.451270 0.303967 -0.008299 0.019425 -0.156174 0.987504
1766747352.520995 -12.735960 13.446184 0.302346 -0.006888 0.013163 -0.155140 0.987781
1766747352.574819 -12.718613 13.441523 0.303122 -0.004197 0.012155 -0.152946 0.988151
1766747352.627209 -12.704533 13.436269 0.303167 0.000422 0.008751 -0.152731 0.988229
1766747352.681620 -12.686519 13.431212 0.303658 0.002665 0.005474 -0.154347 0.987998
1766747352.737231 -12.666735 13.425393 0.304181 -0.002042 0.000882 -0.155599 0.987818
1766747352.786972 -12.641435 13.418181 0.303535 -0.005571 -0.000510 -0.155917 0.987754
1766747352.842110 -12.616515 13.410517 0.303426 -0.009363 0.003403 -0.157136 0.987527
1766747352.894798 -12.593471 13.405697 0.307976 -0.012425 0.004101 -0.157172 0.987485
1766747352.947207 -12.572256 13.400347 0.309935 -0.010195 0.004476 -0.154981 0.987855
1766747353.004096 -12.546272 13.393145 0.309871 -0.011831 0.003656 -0.154526 0.987911
1766747353.055187 -12.518577 13.386069 0.308549 -0.012626 0.001131 -0.152802 0.988176
1766747353.108633 -12.492129 13.378026 0.307444 -0.006026 0.001338 -0.154524 0.987970
1766747353.158837 -12.466761 13.370353 0.305748 -0.011651 0.006161 -0.175862 0.984327
1766747353.213429 -12.443820 13.359135 0.308817 -0.010059 0.000866 -0.203927 0.978934
1766747353.267574 -12.427359 13.350947 0.313477 0.000272 -0.003240 -0.228203 0.973608
1766747353.320020 -12.404166 13.339009 0.315805 0.003766 -0.004941 -0.237768 0.971302
1766747353.369743 -12.381459 13.325642 0.314348 0.004002 -0.011633 -0.235516 0.971793
1766747353.426716 -12.356114 13.312430 0.315325 0.001403 -0.001155 -0.235641 0.971839
1766747353.477051 -12.333455 13.301273 0.313861 0.001025 0.003927 -0.234814 0.972032
1766747353.529520 -12.308638 13.288733 0.314329 0.006166 0.006380 -0.233911 0.972218
1766747353.586725 -12.287173 13.281040 0.315601 0.007620 0.005093 -0.233847 0.972230
1766747353.647689 -12.261929 13.270808 0.314356 0.002014 0.005762 -0.232321 0.972620
1766747353.695601 -12.231920 13.254335 0.307215 0.001416 0.006001 -0.231784 0.972748
