# camera_optical trajectory from onboard odometry (NOT ground truth)
1777374224.187670 0.291361 0.005001 0.329941 -0.496237 0.492582 -0.501590 0.509431
1777374224.317147 0.291290 0.005065 0.329991 -0.496231 0.492503 -0.501609 0.509493
1777374224.452127 0.291337 0.005069 0.329961 -0.496276 0.492516 -0.501585 0.509460
1777374224.588008 0.291312 0.005009 0.329994 -0.496196 0.492543 -0.501632 0.509467
1777374224.735368 0.291249 0.005115 0.330037 -0.496240 0.492426 -0.501630 0.509540
1777374224.908699 0.291238 0.004980 0.330066 -0.496119 0.492496 -0.501666 0.509554
1777374225.012871 0.291169 0.005039 0.330114 -0.496116 0.492418 -0.501729 0.509569
1777374225.153141 0.291157 0.005079 0.330119 -0.496155 0.492371 -0.501663 0.509642
1777374225.293011 0.291180 0.004965 0.330114 -0.496067 0.492471 -0.501712 0.509584
1777374225.434080 0.291201 0.005065 0.330084 -0.496164 0.492425 -0.501684 0.509560
1777374225.571324 0.284376 0.009771 0.326538 -0.501478 0.486571 -0.503045 0.508639
1777374225.716255 0.279629 0.019302 0.322649 0.512126 -0.479434 0.500298 -0.507515
1777374225.850353 0.283439 0.023927 0.321307 0.516365 -0.476518 0.497428 -0.508786
1777374226.001170 0.286969 0.027294 0.320155 0.519421 -0.474512 0.495491 -0.509440
1777374226.132506 0.287963 0.029142 0.319677 0.521087 -0.473180 0.494531 -0.509909
1777374226.274307 0.289588 0.030544 0.319303 0.522487 -0.472036 0.493927 -0.510123
1777374226.414626 0.291463 0.031744 0.318836 0.523728 -0.471117 0.493331 -0.510277
1777374226.554697 0.292578 0.032303 0.317485 0.524221 -0.470814 0.492873 -0.510493
1777374226.695023 0.292851 0.032492 0.317998 0.524523 -0.470549 0.492740 -0.510555
1777374226.838538 0.293113 0.032738 0.317891 0.524755 -0.470336 0.492641 -0.510608
1777374226.974809 0.293446 0.032711 0.318410 0.524766 -0.470368 0.492602 -0.510606
1777374227.118388 0.293701 0.032795 0.318535 0.524798 -0.470309 0.492549 -0.510679
1777374227.255515 0.293802 0.032965 0.318563 0.524884 -0.470203 0.492491 -0.510743
1777374227.491940 0.293840 0.032863 0.318438 0.524821 -0.470254 0.492533 -0.510720
1777374227.608425 0.293808 0.032861 0.318384 0.524760 -0.470166 0.492591 -0.510808
1777374227.750902 0.293865 0.033021 0.318729 0.524847 -0.470066 0.492579 -0.510822
1777374227.888785 0.295158 0.033107 0.318689 0.524457 -0.470420 0.492698 -0.510783
1777374228.035830 0.306100 0.027654 0.317592 0.517273 -0.476841 0.495707 -0.509241
1777374228.191909 0.340736 0.013814 0.310285 0.504819 -0.494728 0.500191 -0.500211
1777374228.308327 0.372201 0.008174 0.304116 -0.501474 0.501990 -0.499782 0.496737
1777374228.453280 0.422618 0.016627 0.299744 0.508255 -0.493186 0.491739 -0.506594
1777374228.593545 0.465733 0.026595 0.302482 -0.511224 0.486024 -0.485062 0.516861
1777374228.739448 0.545180 0.034865 0.306730 0.517981 -0.477560 0.490457 -0.512918
1777374228.869117 0.600816 0.034724 0.311504 0.515303 -0.484933 0.490166 -0.508960
1777374229.012758 0.685488 0.023283 0.305876 0.504195 -0.499157 0.494017 -0.502571
1777374229.125176 0.716007 0.018362 0.308280 0.501626 -0.496162 0.505969 -0.496175
1777374229.292594 0.829916 -0.017795 0.311565 0.474786 -0.519676 0.522345 -0.481322
1777374229.437790 0.901223 -0.040528 0.315758 0.467913 -0.532364 0.536708 -0.457811
1777374229.581945 0.976127 -0.066406 0.313150 0.449580 -0.544080 0.548918 -0.447821
1777374229.721826 1.036818 -0.097146 0.307124 0.437299 -0.552623 0.560564 -0.434910
1777374229.856360 1.079532 -0.125745 0.311065 0.420573 -0.567373 0.568505 -0.421910
1777374229.998419 1.119853 -0.153005 0.311650 0.407181 -0.575504 0.583974 -0.402460
1777374230.148261 1.136879 -0.170397 0.313401 0.398501 -0.582141 0.594538 -0.385789
