# raw base_link odometry (TUM format), robot's own estimator
1777374222.596874 -0.000090 0.007317 0.312415 -0.017052 -0.006439 0.042873 0.998914
1777374222.599123 -0.001149 0.007325 0.310868 -0.017302 -0.005600 0.043362 0.998894
1777374222.643358 -0.003348 0.007779 0.310133 -0.017317 -0.005672 0.042011 0.998951
1777374222.645025 -0.006077 0.007827 0.310351 -0.016570 -0.006256 0.040095 0.999039
1777374222.694129 -0.008153 0.007422 0.310614 -0.015225 -0.006951 0.037971 0.999139
1777374222.743815 -0.009911 0.006629 0.311119 -0.013018 -0.008278 0.034403 0.999289
1777374222.793074 -0.011058 0.005943 0.311706 -0.010767 -0.009264 0.030221 0.999442
1777374222.876864 -0.011949 0.005382 0.312402 -0.008884 -0.010269 0.026559 0.999555
1777374222.979853 -0.012508 0.004792 0.313274 -0.007186 -0.010875 0.023675 0.999635
1777374222.981313 -0.012967 0.004346 0.314944 -0.005429 -0.011903 0.020555 0.999703
1777374223.150141 -0.012763 0.004051 0.316321 -0.004202 -0.012248 0.018218 0.999750
1777374223.152070 -0.012324 0.003697 0.317866 -0.002873 -0.012360 0.015576 0.999798
1777374223.153726 -0.012324 0.003697 0.317866 -0.002873 -0.012360 0.015576 0.999798
1777374223.312891 -0.011520 0.003392 0.319392 -0.001395 -0.012092 0.012315 0.999850
1777374223.313438 -0.010472 0.002914 0.321150 0.000238 -0.011942 0.009013 0.999888
1777374223.356479 -0.009490 0.002453 0.322292 0.001092 -0.011707 0.006647 0.999909
1777374223.358586 -0.008636 0.001977 0.322837 0.001507 -0.011287 0.005633 0.999919
1777374223.362550 -0.008071 0.001689 0.323146 0.001872 -0.010902 0.005697 0.999923
1777374223.412141 -0.008021 0.001604 0.323248 0.002024 -0.010765 0.005922 0.999923
1777374223.442359 -0.008315 0.001622 0.323266 0.002029 -0.010863 0.005892 0.999922
1777374223.500145 -0.008581 0.001638 0.323262 0.001994 -0.011015 0.005894 0.999920
1777374223.551962 -0.008598 0.001626 0.323262 0.002008 -0.011037 0.005915 0.999920
1777374223.606050 -0.008484 0.001659 0.323267 0.001973 -0.010987 0.005812 0.999921
1777374223.653928 -0.008420 0.001661 0.323270 0.001960 -0.010940 0.005784 0.999921
1777374223.708175 -0.008472 0.001616 0.323271 0.002026 -0.010991 0.005786 0.999921
1777374223.760580 -0.008592 0.001608 0.323268 0.002039 -0.011104 0.005868 0.999919
1777374223.816867 -0.008608 0.001626 0.323267 0.002014 -0.011141 0.005909 0.999918
1777374223.871682 -0.008594 0.001622 0.323267 0.002022 -0.011164 0.005854 0.999919
1777374223.932353 -0.008535 0.001601 0.323270 0.002041 -0.011092 0.005784 0.999920
1777374223.975976 -0.008567 0.001584 0.323271 0.002069 -0.011114 0.005825 0.999919
1777374224.049112 -0.008585 0.001606 0.323270 0.002040 -0.011115 0.005923 0.999919
1777374224.085636 -0.008590 0.001631 0.323271 0.002012 -0.011140 0.005858 0.999919
1777374224.138338 -0.008550 0.001585 0.323273 0.002072 -0.011125 0.005717 0.999920
1777374224.197283 -0.008544 0.001563 0.323274 0.002097 -0.011096 0.005754 0.999920
1777374224.243937 -0.008574 0.001597 0.323275 0.002054 -0.011117 0.005861 0.999919
1777374224.302379 -0.008629 0.001601 0.323274 0.002074 -0.011196 0.005842 0.999918
1777374224.353176 -0.008579 0.001582 0.323275 0.002088 -0.011155 0.005718 0.999919
1777374224.417776 -0.008548 0.001566 0.323278 0.002086 -0.011115 0.005720 0.999920
1777374224.462091 -0.008574 0.001600 0.323279 0.002049 -0.011130 0.005846 0.999919
1777374224.517254 -0.008623 0.001620 0.323278 0.002032 -0.011190 0.005915 0.999918
1777374224.568450 -0.008604 0.001600 0.323279 0.002060 -0.011193 0.005777 0.999919
1777374224.621020 -0.008576 0.001536 0.323279 0.002143 -0.011158 0.005690 0.999919
1777374224.707447 -0.008620 0.001574 0.323279 0.002091 -0.011213 0.005797 0.999918
1777374224.737531 -0.008657 0.001615 0.323279 0.002045 -0.011255 0.005867 0.999917
1777374224.855409 -0.008674 0.001580 0.323278 0.002095 -0.011297 0.005751 0.999917
1777374224.856050 -0.008649 0.001533 0.323277 0.002144 -0.011281 0.005639 0.999918
1777374224.856928 -0.008649 0.001533 0.323277 0.002144 -0.011281 0.005639 0.999918
1777374224.900006 -0.008663 0.001537 0.323278 0.002136 -0.011302 0.005743 0.999917
1777374224.983265 -0.008688 0.001582 0.323278 0.002096 -0.011308 0.005861 0.999917
1777374225.000500 -0.008742 0.001597 0.323278 0.002068 -0.011387 0.005792 0.999916
1777374225.062862 -0.008700 0.001574 0.323278 0.002083 -0.011362 0.005676 0.999917
1777374225.103636 -0.008701 0.001557 0.323278 0.002104 -0.011356 0.005756 0.999917
1777374225.157757 -0.008748 0.001566 0.323278 0.002097 -0.011393 0.005893 0.999916
1777374225.210137 -0.008735 0.001576 0.323278 0.002094 -0.011382 0.005869 0.999916
1777374225.264321 -0.008732 0.001537 0.323279 0.002142 -0.011387 0.005739 0.999916
1777374225.364447 -0.008699 0.001545 0.323280 0.002127 -0.011360 0.005720 0.999917
1777374225.377179 -0.008699 0.001586 0.323281 0.002068 -0.011336 0.005832 0.999917
1777374225.422008 -0.008710 0.001601 0.323281 0.002060 -0.011337 0.005834 0.999917
1777374225.475653 -0.008673 0.001573 0.323281 0.002096 -0.011295 0.005717 0.999918
1777374225.531304 -0.013682 0.002918 0.319597 -0.003761 -0.011907 0.007821 0.999891
1777374225.597198 -0.016638 0.004022 0.319400 -0.005236 -0.011760 0.011822 0.999847
