# camera_optical trajectory from onboard odometry (NOT ground truth)
1778055130.584232 0.293389 0.002046 0.329537 0.495001 -0.493777 0.508780 -0.502296
1778055130.717675 0.293360 0.002146 0.329608 0.495028 -0.493661 0.508833 -0.502329
1778055130.859242 0.293340 0.002216 0.329617 0.495087 -0.493604 0.508766 -0.502396
1778055131.000397 0.293356 0.002170 0.329620 0.495055 -0.493647 0.508736 -0.502416
1778055131.136767 0.293300 0.002218 0.329671 0.495051 -0.493566 0.508740 -0.502495
1778055131.275258 0.293266 0.002192 0.329697 0.495019 -0.493559 0.508727 -0.502546
1778055131.417015 0.293295 0.002150 0.329682 0.494993 -0.493617 0.508754 -0.502488
1778055131.556029 0.293330 0.002322 0.329641 0.495168 -0.493513 0.508710 -0.502461
1778055131.695243 0.293289 0.002265 0.329688 0.495083 -0.493522 0.508737 -0.502509
1778055131.833475 0.293280 0.002197 0.329697 0.495024 -0.493569 0.508701 -0.502558
1778055131.975898 0.293291 0.002235 0.329680 0.495070 -0.493555 0.508683 -0.502544
1778055132.112354 0.293364 0.002109 0.329632 0.495012 -0.493701 0.508653 -0.502489
1778055132.257386 0.288965 0.003771 0.328626 0.496988 -0.491080 0.509376 -0.502374
1778055132.412595 0.284811 0.019812 0.320696 0.514687 -0.477204 0.500504 -0.506823
1778055132.539888 0.287784 0.035066 0.316024 0.530304 -0.463998 0.488636 -0.514508
1778055132.675939 0.290138 0.051724 0.312834 0.547545 -0.450475 0.470514 -0.525246
1778055132.825549 0.286476 0.081584 0.314942 0.573012 -0.418205 0.442833 -0.548325
1778055132.956191 0.283341 0.104081 0.315213 0.583782 -0.400393 0.418985 -0.568626
1778055133.097574 0.280494 0.127707 0.314398 0.593817 -0.383441 0.395991 -0.586128
1778055133.240190 0.276108 0.151873 0.307236 0.612186 -0.366098 0.376041 -0.591434
1778055133.378783 0.264289 0.183937 0.299510 0.627678 -0.342956 0.345817 -0.607299
1778055133.515132 0.252930 0.216134 0.301442 0.648409 -0.303861 0.310770 -0.625025
1778055133.658193 0.241903 0.260025 0.302559 0.671092 -0.252876 0.264169 -0.644906
1778055133.797606 0.227065 0.301970 0.301078 0.690058 -0.206896 0.211556 -0.660498
1778055133.939770 0.201143 0.342446 0.291510 0.708913 -0.156134 0.167459 -0.667100
1778055134.079459 0.181026 0.382622 0.291064 0.711293 -0.121304 0.128810 -0.680261
1778055134.215533 0.155295 0.416800 0.299594 0.713205 -0.076411 0.100845 -0.689441
1778055134.356405 0.125160 0.461017 0.297119 0.716100 -0.043902 0.053163 -0.694585
1778055134.508115 0.099186 0.502664 0.299855 0.713032 -0.008924 0.014920 -0.700916
1778055134.642631 0.078208 0.535506 0.302787 -0.705429 -0.013424 0.014651 0.708502
1778055134.777875 0.043869 0.576289 0.303065 0.706670 0.044387 -0.035060 -0.705279
1778055134.914524 0.005684 0.615014 0.309476 -0.697874 -0.077979 0.056069 0.709752
1778055135.054517 -0.027977 0.665056 0.305462 -0.698067 -0.096030 0.092263 0.703540
1778055135.197563 -0.056528 0.712561 0.309933 -0.690439 -0.108826 0.122782 0.704539
1778055135.342170 -0.098404 0.764173 0.301974 0.695167 0.138338 -0.129723 -0.693381
1778055135.480366 -0.147959 0.805972 0.309266 -0.686274 -0.165678 0.151081 0.691920
1778055135.619164 -0.192960 0.865635 0.305147 -0.684909 -0.181694 0.169528 0.684944
1778055135.762870 -0.216764 0.929500 0.308461 -0.685198 -0.173006 0.160539 0.689058
1778055135.897564 -0.245597 1.006350 0.307785 0.691707 0.165691 -0.141153 -0.688595
1778055136.050394 -0.263745 1.075981 0.304056 0.701010 0.147135 -0.129682 -0.685652
1778055136.183177 -0.276903 1.147483 0.301137 0.701146 0.131690 -0.114994 -0.691251
1778055136.321230 -0.278583 1.215736 0.308235 0.702889 0.102440 -0.106095 -0.695842
1778055136.459075 -0.279776 1.288852 0.306596 0.703131 0.088624 -0.079128 -0.701065
1778055136.603320 -0.280335 1.357361 0.312623 0.706102 0.071602 -0.056526 -0.702209
1778055136.737794 -0.279737 1.421064 0.311039 0.705558 0.052837 -0.040748 -0.705504
1778055136.877256 -0.271676 1.498643 0.301846 0.707933 0.037606 -0.018144 -0.705044
1778055137.019002 -0.251831 1.560075 0.313139 -0.705284 -0.003311 0.013201 0.708794
1778055137.160535 -0.228033 1.629953 0.310977 -0.703968 0.015624 -0.010601 0.709980
1778055137.302629 -0.207384 1.701918 0.313555 0.709762 -0.031848 0.035369 -0.702832
1778055137.438731 -0.186515 1.773566 0.310261 0.705287 -0.050050 0.052674 -0.705189
1778055137.586049 -0.156082 1.846670 0.307079 0.704703 -0.068800 0.068268 -0.702851
1778055137.722724 -0.120284 1.903009 0.313049 -0.697740 0.092305 -0.086568 0.705084
1778055137.867119 -0.077784 1.975614 0.308888 0.701080 -0.108481 0.112879 -0.695685
