# raw base_link odometry (TUM format), robot's own estimator
1778055129.580162 -0.004335 0.005586 0.310942 -0.016151 -0.006566 0.017273 0.999699
1778055129.625198 -0.005613 0.005056 0.311732 -0.014205 -0.007777 0.014322 0.999766
1778055129.682498 -0.006662 0.004802 0.312957 -0.012582 -0.008940 0.011791 0.999811
1778055129.737785 -0.007393 0.004761 0.314357 -0.011274 -0.009843 0.009456 0.999843
1778055129.792897 -0.007728 0.004909 0.315852 -0.010246 -0.010296 0.007295 0.999868
1778055129.906071 -0.007608 0.005009 0.317347 -0.009179 -0.010637 0.005123 0.999888
1778055129.908444 -0.007463 0.004946 0.318864 -0.007988 -0.011038 0.003157 0.999902
1778055129.954780 -0.007134 0.004721 0.320475 -0.006393 -0.011406 0.000494 0.999915
1778055130.007566 -0.006699 0.004362 0.321593 -0.005212 -0.011547 -0.001678 0.999918
1778055130.059310 -0.006282 0.003939 0.322322 -0.004396 -0.011367 -0.002731 0.999922
1778055130.108253 -0.006086 0.003613 0.322643 -0.003883 -0.011199 -0.003087 0.999925
1778055130.162000 -0.006089 0.003496 0.322773 -0.003736 -0.011098 -0.002865 0.999927
1778055130.214919 -0.006256 0.003603 0.322801 -0.003868 -0.011151 -0.002663 0.999927
1778055130.271314 -0.006421 0.003650 0.322813 -0.003904 -0.011194 -0.002672 0.999926
1778055130.325987 -0.006505 0.003589 0.322819 -0.003838 -0.011175 -0.002735 0.999927
1778055130.377156 -0.006554 0.003577 0.322820 -0.003815 -0.011180 -0.002706 0.999927
1778055130.432320 -0.006559 0.003643 0.322823 -0.003894 -0.011174 -0.002610 0.999927
1778055130.486870 -0.006543 0.003630 0.322830 -0.003883 -0.011174 -0.002664 0.999927
1778055130.534109 -0.006538 0.003602 0.322837 -0.003848 -0.011161 -0.002688 0.999927
1778055130.588009 -0.006532 0.003598 0.322842 -0.003855 -0.011148 -0.002626 0.999927
1778055130.648906 -0.006573 0.003657 0.322848 -0.003929 -0.011234 -0.002546 0.999926
1778055130.693397 -0.006543 0.003663 0.322858 -0.003934 -0.011209 -0.002548 0.999926
1778055130.748395 -0.006582 0.003657 0.322865 -0.003938 -0.011271 -0.002594 0.999925
1778055130.800413 -0.006577 0.003657 0.322869 -0.003929 -0.011245 -0.002522 0.999926
1778055130.864352 -0.006581 0.003656 0.322871 -0.003926 -0.011234 -0.002437 0.999926
1778055130.910205 -0.006592 0.003662 0.322875 -0.003931 -0.011260 -0.002429 0.999926
1778055130.967827 -0.006557 0.003611 0.322879 -0.003855 -0.011220 -0.002480 0.999927
1778055131.015993 -0.006568 0.003621 0.322881 -0.003868 -0.011227 -0.002445 0.999927
1778055131.067753 -0.006597 0.003631 0.322881 -0.003898 -0.011265 -0.002340 0.999926
1778055131.122466 -0.006619 0.003637 0.322880 -0.003887 -0.011305 -0.002357 0.999926
1778055131.174594 -0.006623 0.003575 0.322884 -0.003808 -0.011318 -0.002440 0.999926
1778055131.229007 -0.006617 0.003583 0.322885 -0.003826 -0.011305 -0.002451 0.999926
1778055131.280481 -0.006657 0.003582 0.322884 -0.003820 -0.011352 -0.002351 0.999926
1778055131.333060 -0.006647 0.003611 0.322884 -0.003857 -0.011329 -0.002348 0.999926
1778055131.387774 -0.006628 0.003587 0.322886 -0.003816 -0.011323 -0.002435 0.999926
1778055131.439452 -0.006622 0.003595 0.322888 -0.003824 -0.011310 -0.002453 0.999926
1778055131.496800 -0.006603 0.003646 0.322889 -0.003918 -0.011267 -0.002321 0.999926
1778055131.545646 -0.006586 0.003680 0.322889 -0.003963 -0.011234 -0.002283 0.999927
1778055131.599702 -0.006610 0.003647 0.322890 -0.003907 -0.011290 -0.002358 0.999926
1778055131.653008 -0.006632 0.003635 0.322891 -0.003886 -0.011333 -0.002402 0.999925
1778055131.706078 -0.006630 0.003640 0.322891 -0.003897 -0.011317 -0.002316 0.999926
1778055131.761006 -0.006640 0.003633 0.322891 -0.003894 -0.011317 -0.002257 0.999926
1778055131.811672 -0.006650 0.003597 0.322891 -0.003823 -0.011342 -0.002299 0.999926
1778055131.865694 -0.006624 0.003550 0.322893 -0.003764 -0.011320 -0.002412 0.999926
1778055131.923965 -0.006616 0.003551 0.322895 -0.003764 -0.011294 -0.002402 0.999926
1778055131.971638 -0.006629 0.003597 0.322895 -0.003829 -0.011301 -0.002311 0.999926
1778055132.026591 -0.006631 0.003588 0.322895 -0.003803 -0.011296 -0.002328 0.999926
1778055132.078080 -0.006568 0.003552 0.322897 -0.003768 -0.011229 -0.002425 0.999927
1778055132.131246 -0.006551 0.003534 0.322899 -0.003721 -0.011207 -0.002428 0.999927
1778055132.185627 -0.006558 0.003555 0.322899 -0.003756 -0.011197 -0.002358 0.999928
1778055132.240678 -0.011168 0.003873 0.321850 -0.005841 -0.011844 -0.002101 0.999911
1778055132.290639 -0.010519 0.004412 0.320863 -0.007677 -0.011835 0.002544 0.999897
1778055132.344671 -0.012855 0.005856 0.319314 -0.012035 -0.011472 0.009801 0.999814
1778055132.398247 -0.014975 0.006436 0.316675 -0.014849 -0.007974 0.019108 0.999675
1778055132.451447 -0.014568 0.007060 0.315183 -0.017567 -0.007022 0.029463 0.999387
1778055132.505373 -0.012508 0.007443 0.314392 -0.020050 -0.005962 0.039548 0.998999
1778055132.563668 -0.009843 0.007360 0.313619 -0.020331 -0.003359 0.050595 0.998507
1778055132.613829 -0.007225 0.006851 0.313653 -0.021252 -0.000103 0.063221 0.997773
1778055132.690354 -0.006214 0.006221 0.314664 -0.021149 0.001416 0.078842 0.996662
1778055132.720397 -0.005219 0.005750 0.315630 -0.024292 0.000979 0.096417 0.995044
