# camera_optical trajectory from onboard odometry (NOT ground truth)
1779934540.023687 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.161032 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.309869 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.444166 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.604831 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.719566 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.869184 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934540.997724 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.138598 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.290802 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.421807 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.562405 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.704553 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.842983 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934541.981206 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.120753 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.285036 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.412375 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.548017 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.698785 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.828253 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934542.964854 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.105598 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.245573 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.396273 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.531261 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.651886 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.771901 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934543.928114 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934544.070783 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934544.247103 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934544.388180 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934544.572457 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934544.684181 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934544.898097 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779934545.032644 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
