# camera_optical trajectory from onboard odometry (NOT ground truth)
1778055838.694958 -0.451920 4.842617 0.296223 0.722086 -0.029204 0.033483 -0.690375
1778055838.842221 -0.451912 4.842614 0.296212 0.722091 -0.029212 0.033431 -0.690372
1778055838.972504 -0.451947 4.842659 0.296150 0.722144 -0.029194 0.033437 -0.690317
1778055839.114743 -0.451922 4.842641 0.296156 0.722136 -0.029234 0.033391 -0.690326
1778055839.250469 -0.451884 4.842684 0.296089 0.722195 -0.029265 0.033428 -0.690261
1778055839.392159 -0.452031 4.842691 0.296049 0.722225 -0.029118 0.033415 -0.690236
1778055839.543631 -0.452057 4.842719 0.296022 0.722248 -0.029099 0.033399 -0.690214
1778055839.676522 -0.452077 4.842784 0.295941 0.722329 -0.029077 0.033374 -0.690132
1778055839.819721 -0.452184 4.842783 0.295904 0.722332 -0.028968 0.033370 -0.690133
1778055839.954503 -0.452119 4.842792 0.295924 0.722322 -0.029035 0.033408 -0.690139
1778055840.091869 -0.452151 4.842766 0.295959 0.722302 -0.029003 0.033448 -0.690160
1778055840.230678 -0.452164 4.842801 0.295906 0.722347 -0.028990 0.033468 -0.690112
1778055840.370119 -0.452097 4.842860 0.295824 0.722423 -0.029058 0.033457 -0.690030
1778055840.514158 -0.452226 4.842895 0.295773 0.722479 -0.028932 0.033425 -0.689978
1778055840.655727 -0.451959 4.844037 0.296471 0.721933 -0.028964 0.033623 -0.690539
1778055840.791790 -0.450344 4.863059 0.297634 0.721247 -0.027902 0.036106 -0.691174
1778055840.932810 -0.445227 4.911012 0.289167 0.729362 -0.027264 0.033551 -0.682761
1778055841.075280 -0.439722 4.986151 0.291777 0.720863 -0.034804 0.018835 -0.691947
1778055841.214912 -0.427099 5.089965 0.313617 -0.704264 0.031740 -0.023708 0.708832
1778055841.356433 -0.416236 5.196082 0.310149 0.711818 -0.021379 0.039724 -0.700914
1778055841.515046 -0.412070 5.350937 0.307520 0.709837 -0.025277 0.024783 -0.703476
1778055841.640742 -0.400767 5.491230 0.317732 0.707347 -0.022518 0.023830 -0.706106
1778055841.775789 -0.384623 5.625566 0.304574 0.717510 -0.018732 0.031621 -0.695578
1778055841.917289 -0.378432 5.763135 0.301190 0.715505 -0.017712 0.022321 -0.698027
