# raw base_link odometry (TUM format), robot's own estimator
1778055838.626120 -0.478537 4.544100 0.309582 -0.018011 0.013683 0.674868 0.737592
1778055838.671299 -0.478530 4.544096 0.309581 -0.018005 0.013698 0.674864 0.737596
1778055838.724346 -0.478515 4.544100 0.309578 -0.017982 0.013738 0.674917 0.737547
1778055838.781653 -0.478504 4.544126 0.309565 -0.018004 0.013782 0.674870 0.737589
1778055838.831208 -0.478488 4.544095 0.309572 -0.017967 0.013754 0.674899 0.737563
1778055838.882766 -0.478528 4.544084 0.309577 -0.017974 0.013735 0.674949 0.737517
1778055838.934834 -0.478563 4.544118 0.309566 -0.018044 0.013746 0.674924 0.737539
1778055838.987616 -0.478512 4.544148 0.309553 -0.018032 0.013811 0.674911 0.737549
1778055839.044283 -0.478520 4.544149 0.309551 -0.018042 0.013816 0.674935 0.737528
1778055839.090824 -0.478493 4.544124 0.309563 -0.017976 0.013818 0.674907 0.737554
1778055839.146738 -0.478504 4.544118 0.309548 -0.017993 0.013838 0.674934 0.737529
1778055839.198348 -0.478512 4.544152 0.309535 -0.018042 0.013863 0.674915 0.737544
1778055839.251032 -0.478489 4.544169 0.309543 -0.018049 0.013886 0.674881 0.737575
1778055839.301114 -0.478514 4.544154 0.309543 -0.018058 0.013873 0.674929 0.737531
1778055839.354365 -0.478567 4.544138 0.309526 -0.018106 0.013820 0.674960 0.737503
1778055839.409343 -0.478571 4.544186 0.309522 -0.018160 0.013858 0.674967 0.737494
1778055839.466718 -0.478569 4.544208 0.309518 -0.018167 0.013862 0.674933 0.737525
1778055839.528122 -0.478565 4.544200 0.309520 -0.018152 0.013877 0.674965 0.737496
1778055839.571418 -0.478608 4.544195 0.309509 -0.018195 0.013850 0.675014 0.737451
1778055839.624738 -0.478598 4.544207 0.309513 -0.018208 0.013887 0.675011 0.737452
1778055839.683787 -0.478579 4.544273 0.309502 -0.018252 0.013959 0.675004 0.737456
1778055839.731876 -0.478599 4.544297 0.309477 -0.018295 0.013969 0.675052 0.737412
1778055839.784815 -0.478659 4.544275 0.309466 -0.018336 0.013904 0.675078 0.737387
1778055839.838028 -0.478632 4.544252 0.309465 -0.018282 0.013895 0.675056 0.737409
1778055839.891631 -0.478620 4.544249 0.309484 -0.018266 0.013891 0.675038 0.737426
1778055839.944965 -0.478615 4.544277 0.309477 -0.018273 0.013911 0.675004 0.737457
1778055840.000445 -0.478647 4.544253 0.309492 -0.018299 0.013878 0.675034 0.737429
1778055840.056400 -0.478662 4.544234 0.309494 -0.018287 0.013847 0.675026 0.737437
1778055840.105222 -0.478654 4.544250 0.309496 -0.018296 0.013849 0.674998 0.737463
1778055840.158949 -0.478653 4.544316 0.309491 -0.018340 0.013904 0.674986 0.737472
1778055840.211685 -0.478671 4.544286 0.309481 -0.018355 0.013876 0.674997 0.737462
1778055840.264782 -0.478677 4.544279 0.309483 -0.018360 0.013883 0.675006 0.737453
1778055840.319265 -0.478653 4.544306 0.309478 -0.018366 0.013948 0.675003 0.737454
1778055840.371950 -0.478629 4.544349 0.309467 -0.018397 0.013999 0.674968 0.737485
1778055840.425325 -0.478641 4.544392 0.309473 -0.018454 0.014050 0.674997 0.737456
1778055840.478043 -0.478679 4.544376 0.309459 -0.018477 0.014016 0.675047 0.737410
1778055840.531220 -0.478699 4.544380 0.309462 -0.018507 0.013999 0.675051 0.737406
1778055840.587934 -0.478671 4.544418 0.309463 -0.018498 0.014054 0.675054 0.737402
1778055840.637149 -0.478678 4.544404 0.309462 -0.018491 0.014037 0.675047 0.737410
1778055840.695766 -0.478190 4.547888 0.310171 -0.017024 0.011925 0.674715 0.737786
1778055840.746925 -0.478087 4.554884 0.310933 -0.017528 0.010762 0.674122 0.738334
1778055840.804151 -0.477389 4.567225 0.310023 -0.019582 0.010982 0.674229 0.738181
1778055840.857559 -0.475230 4.582427 0.309782 -0.024134 0.010661 0.674052 0.738213
1778055840.907310 -0.473156 4.600636 0.309574 -0.028514 0.017456 0.674997 0.737062
1778055840.965232 -0.468436 4.628205 0.307801 -0.023810 0.023591 0.676477 0.735701
