# camera_optical trajectory from onboard odometry (NOT ground truth)
1778468592.472623 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468592.613388 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468592.751647 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468592.893719 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.033464 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.174203 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.316108 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.455691 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.595391 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.732399 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468593.874115 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.014470 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.153590 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.292022 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.435869 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.570463 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.713460 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.848253 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468594.989140 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.131471 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.267913 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.413146 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.553196 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.693566 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.832091 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468595.977662 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.122251 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.253909 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.396518 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.543413 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.671349 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.812316 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468596.954914 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.091968 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.234378 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.372428 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.511732 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.655771 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.795798 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468597.935071 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.076241 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.214791 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.355782 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.491328 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.634253 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.771942 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468598.911130 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.052669 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.191139 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.332464 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.474016 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.615342 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.751721 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468599.895624 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.034518 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.173147 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.312263 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.457444 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.596837 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.735071 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468600.870706 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.015755 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.153041 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.292915 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.433397 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.573495 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.721968 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468601.855498 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.000275 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.133124 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.274725 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.410365 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.558125 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.690580 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.833464 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468602.975091 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.114820 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.252888 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.394128 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.533674 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.675040 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.810631 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468603.952691 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.095372 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.233121 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.373351 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.514714 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.655172 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.798918 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468604.936555 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.077084 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.223645 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.359273 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.499521 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.637051 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.777522 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468605.917041 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.056810 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.201314 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.336960 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.476169 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.620721 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.758856 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468606.895833 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1778468607.043753 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
