# camera_optical trajectory from onboard odometry (NOT ground truth)
1779360452.430859 8.344604 25.042485 0.097316 -0.053634 -0.649649 0.756193 0.057023
1779360452.566123 8.344699 25.051154 0.111204 -0.054123 -0.655306 0.751289 0.056655
1779360452.706992 8.346490 25.070456 0.163603 -0.054766 -0.650311 0.755563 0.056753
1779360452.848485 8.344991 25.075316 0.220410 -0.058335 -0.662819 0.744387 0.056178
1779360452.987076 8.343891 25.069000 0.271453 -0.058936 -0.673034 0.734984 0.057877
1779360453.127910 8.345536 25.059861 0.321050 -0.056186 -0.677622 0.730880 0.059043
1779360453.270175 8.345134 25.048465 0.338819 -0.055197 -0.681747 0.727065 0.059595
1779360453.407975 8.344272 25.047595 0.339693 -0.055915 -0.682793 0.726055 0.059246
1779360453.554637 8.345597 25.052203 0.340211 -0.055189 -0.682084 0.726801 0.058953
1779360453.689019 8.345321 25.052739 0.340281 -0.055579 -0.681878 0.726950 0.059134
1779360453.829681 8.345184 25.052058 0.340300 -0.055638 -0.681938 0.726884 0.059200
1779360453.971607 8.345197 25.052097 0.340340 -0.055599 -0.681900 0.726928 0.059140
1779360454.108932 8.345207 25.052132 0.340376 -0.055598 -0.681854 0.726969 0.059162
1779360454.248055 8.345325 25.052150 0.340403 -0.055463 -0.681833 0.727005 0.059095
1779360454.390006 8.345156 25.052199 0.340426 -0.055646 -0.681787 0.727031 0.059129
1779360454.532643 8.345231 25.052230 0.340455 -0.055571 -0.681755 0.727071 0.059068
1779360454.672676 8.345233 25.052249 0.340475 -0.055561 -0.681731 0.727100 0.059001
1779360454.812510 8.345921 25.055607 0.339838 -0.054154 -0.681126 0.727698 0.059917
1779360454.968452 8.368510 25.055251 0.338124 -0.025201 -0.684308 0.727525 0.042375
1779360455.097434 8.404943 25.041399 0.337963 0.006253 -0.684348 0.729097 0.006808
1779360455.232990 8.459485 25.010945 0.339945 0.044314 -0.681457 0.728766 -0.050525
1779360455.374430 8.512038 24.984779 0.329701 0.091965 -0.681004 0.720275 -0.094769
1779360455.513273 8.576848 24.976044 0.316969 0.160828 -0.683675 0.696992 -0.144653
1779360455.658892 8.648397 24.988768 0.298921 -0.204830 0.684531 -0.667487 0.209579
1779360455.801293 8.710149 24.979484 0.302435 -0.238245 0.668561 -0.659314 0.248136
1779360455.937688 8.762036 24.961420 0.312315 0.268085 -0.648581 0.664372 -0.257067
1779360456.081498 8.829440 24.929888 0.313116 0.290306 -0.633926 0.664972 -0.267717
1779360456.220256 8.886469 24.896280 0.316763 0.301156 -0.635063 0.653670 -0.280563
1779360456.363202 8.947182 24.847675 0.319163 0.299516 -0.631306 0.656780 -0.283519
1779360456.497363 9.017293 24.794342 0.316807 0.308209 -0.635691 0.651162 -0.277295
1779360456.643423 9.115725 24.727248 0.318604 0.308383 -0.629255 0.651334 -0.291038
1779360456.782673 9.215470 24.639125 0.311687 -0.293820 0.650580 -0.640439 0.283289
1779360456.926806 9.268180 24.507909 0.303023 -0.243968 0.673629 -0.654947 0.240309
1779360457.061363 9.342200 24.393165 0.294849 -0.225608 0.678590 -0.667295 0.208168
1779360457.202261 9.385917 24.285382 0.315528 -0.189064 0.679357 -0.676741 0.211541
1779360457.340267 9.427983 24.178881 0.303567 -0.180211 0.692365 -0.673552 0.185697
1779360457.483434 9.501299 24.045722 0.307361 -0.176348 0.686287 -0.682225 0.180223
1779360457.632132 9.577506 23.896651 0.306673 -0.176048 0.688482 -0.682449 0.171063
1779360457.767681 9.626977 23.788692 0.318594 0.169729 -0.681706 0.693383 -0.160280
1779360457.907233 9.649138 23.646510 0.307571 -0.118133 0.699539 -0.691046 0.138366
1779360458.047796 9.657941 23.485191 0.306742 -0.072114 0.705292 -0.698864 0.094621
1779360458.184337 9.669059 23.344383 0.322657 0.054388 -0.693764 0.715568 -0.060790
1779360458.325875 9.673546 23.205125 0.312489 -0.027517 0.711628 -0.699069 0.064267
1779360458.466754 9.667008 23.067269 0.304378 -0.023702 0.713400 -0.699301 0.038438
1779360458.605796 9.669063 22.946155 0.304501 0.024702 -0.703888 0.709381 -0.026634
1779360458.751211 9.676361 22.817382 0.317885 0.021413 -0.701641 0.711829 -0.023243
1779360458.890723 9.678630 22.677086 0.305777 -0.025446 0.710894 -0.702777 0.009309
1779360459.029231 9.691278 22.517534 0.314567 0.028229 -0.697821 0.715652 -0.009580
1779360459.171708 9.703991 22.366365 0.321029 0.024220 -0.702237 0.711338 -0.016588
1779360459.315379 9.707175 22.237322 0.315858 0.020259 -0.706337 0.707483 -0.012097
1779360459.450335 9.712287 22.087891 0.308672 0.025674 -0.704650 0.708993 -0.011742
1779360459.595639 9.726378 21.970162 0.322354 0.034387 -0.701060 0.712142 -0.013669
1779360459.730051 9.761741 21.873407 0.315653 0.062471 -0.704754 0.705961 -0.032226
1779360459.875673 9.801603 21.771683 0.313528 0.082267 -0.700160 0.707125 -0.054607
1779360460.018909 9.828017 21.690187 0.315819 0.090158 -0.696085 0.708613 -0.072148
1779360460.155018 9.854927 21.598110 0.324171 0.096760 -0.689981 0.713360 -0.075375
1779360460.297082 9.888529 21.483062 0.322296 0.103571 -0.693325 0.708988 -0.076873
