# raw base_link odometry (TUM format), robot's own estimator
1779360451.939011 8.390179 25.335978 0.048208 -0.064877 -0.057729 -0.759049 0.645215
1779360451.991940 8.390223 25.335901 0.048442 -0.064329 -0.057605 -0.759121 0.645196
1779360452.046954 8.390286 25.335796 0.048762 -0.063421 -0.057252 -0.759087 0.645358
1779360452.098485 8.390403 25.335690 0.049082 -0.062596 -0.056655 -0.759002 0.645591
1779360452.153006 8.390518 25.335571 0.049350 -0.061667 -0.056049 -0.758940 0.645806
1779360452.205481 8.390675 25.335423 0.049710 -0.060381 -0.055109 -0.758790 0.646185
1779360452.258628 8.390834 25.335299 0.050068 -0.059222 -0.054248 -0.758694 0.646478
1779360452.312078 8.390993 25.335148 0.050417 -0.057999 -0.053353 -0.758565 0.646814
1779360452.365358 8.391108 25.335001 0.050787 -0.056274 -0.053065 -0.758253 0.647356
1779360452.419289 8.391271 25.335075 0.051213 -0.055224 -0.051705 -0.758191 0.647629
1779360452.472150 8.390789 25.336588 0.056035 -0.054046 -0.051122 -0.758458 0.647462
1779360452.525401 8.390779 25.340054 0.062254 -0.049866 -0.047905 -0.758715 0.647742
1779360452.578903 8.391558 25.346170 0.073242 -0.049066 -0.046355 -0.758677 0.647960
1779360452.633616 8.392528 25.353733 0.089382 -0.052895 -0.049557 -0.758569 0.647548
1779360452.692010 8.393334 25.361677 0.111227 -0.054524 -0.052076 -0.758508 0.647287
1779360452.738769 8.393732 25.367060 0.135940 -0.051699 -0.050692 -0.759093 0.646943
1779360452.794798 8.393665 25.369474 0.160245 -0.046371 -0.047169 -0.760017 0.646529
1779360452.845990 8.393400 25.369463 0.184909 -0.039938 -0.042083 -0.760817 0.646368
1779360452.898811 8.393116 25.367826 0.209058 -0.035016 -0.037403 -0.761704 0.645896
1779360452.953698 8.393113 25.365437 0.231702 -0.031678 -0.033532 -0.762323 0.645551
1779360453.002419 8.393318 25.362982 0.251583 -0.029879 -0.030572 -0.762457 0.645625
1779360453.055097 8.393572 25.359684 0.272249 -0.028685 -0.027533 -0.762348 0.645945
1779360453.108982 8.394066 25.356331 0.292578 -0.027966 -0.025455 -0.761951 0.646530
1779360453.161765 8.394385 25.352695 0.308943 -0.028222 -0.024745 -0.761713 0.646827
1779360453.215689 8.394175 25.347778 0.316823 -0.027068 -0.022613 -0.761577 0.647114
1779360453.268690 8.393601 25.343935 0.319489 -0.024887 -0.020477 -0.761799 0.647012
1779360453.334663 8.393106 25.342201 0.320626 -0.023608 -0.019720 -0.761936 0.646922
1779360453.384723 8.392787 25.342281 0.321240 -0.023155 -0.019840 -0.762046 0.646805
1779360453.439250 8.393056 25.344095 0.321365 -0.023487 -0.020134 -0.761950 0.646897
1779360453.495214 8.393479 25.346128 0.321296 -0.023873 -0.020263 -0.761738 0.647128
1779360453.544731 8.393772 25.347534 0.321197 -0.024206 -0.020424 -0.761508 0.647382
1779360453.595421 8.393867 25.348356 0.321118 -0.024382 -0.020695 -0.761539 0.647330
1779360453.649037 8.393814 25.348410 0.321095 -0.024354 -0.020777 -0.761743 0.647088
1779360453.702399 8.393737 25.348106 0.321113 -0.024300 -0.020753 -0.761780 0.647047
1779360453.756851 8.393718 25.347725 0.321147 -0.024285 -0.020679 -0.761755 0.647079
1779360453.808587 8.393682 25.347521 0.321175 -0.024263 -0.020685 -0.761809 0.647017
1779360453.861507 8.393656 25.347458 0.321189 -0.024240 -0.020704 -0.761862 0.646954
1779360453.914995 8.393620 25.347485 0.321191 -0.024228 -0.020746 -0.761866 0.646949
1779360453.966271 8.393638 25.347536 0.321188 -0.024277 -0.020744 -0.761792 0.647034
1779360454.018980 8.393690 25.347565 0.321184 -0.024351 -0.020734 -0.761704 0.647135
1779360454.072019 8.393699 25.347569 0.321184 -0.024365 -0.020746 -0.761756 0.647074
