# camera_optical trajectory from onboard odometry (NOT ground truth)
1779361432.515536 -11.477870 18.681535 0.320546 0.708681 0.026845 -0.010891 -0.704934
1779361432.659801 -11.477865 18.682042 0.320508 0.708774 0.026845 -0.010835 -0.704841
1779361432.797142 -11.477878 18.681860 0.320502 0.708742 0.026869 -0.010905 -0.704872
1779361432.935984 -11.477867 18.681902 0.320412 0.708770 0.026871 -0.010928 -0.704843
1779361433.078433 -11.477814 18.681834 0.320429 0.708710 0.026819 -0.010945 -0.704905
1779361433.216572 -11.477831 18.681864 0.320400 0.708734 0.026823 -0.010924 -0.704881
1779361433.358451 -11.477846 18.681869 0.320261 0.708754 0.026859 -0.011027 -0.704858
1779361433.501450 -11.477731 18.681913 0.320024 0.708771 0.026731 -0.010951 -0.704847
1779361433.644903 -11.480802 18.677279 0.319903 0.706902 0.033609 -0.011549 -0.706418
1779361433.782804 -11.487730 18.673698 0.307454 0.710344 0.044562 -0.012940 -0.702324
1779361433.926424 -11.490627 18.678482 0.310620 0.711276 0.049393 -0.013969 -0.701036
1779361434.066546 -11.491900 18.682616 0.311827 0.711644 0.050422 -0.014611 -0.700577
1779361434.202941 -11.492380 18.684430 0.311473 0.711672 0.050815 -0.015266 -0.700506
1779361434.347875 -11.492927 18.685084 0.311170 0.711631 0.051441 -0.015910 -0.700487
1779361434.485129 -11.493098 18.685551 0.311084 0.711611 0.051628 -0.016159 -0.700488
1779361434.629812 -11.493271 18.686137 0.310996 0.711601 0.051729 -0.016449 -0.700484
1779361434.765875 -11.493522 18.686831 0.310976 0.711533 0.051872 -0.016843 -0.700533
1779361434.905138 -11.493667 18.687541 0.310916 0.711521 0.051894 -0.017108 -0.700537
1779361435.020983 -11.493735 18.688250 0.310850 0.711566 0.051898 -0.017054 -0.700492
1779361435.184352 -11.493896 18.689270 0.310767 0.711538 0.051924 -0.017389 -0.700510
1779361435.326766 -11.494128 18.689865 0.310729 0.711504 0.052028 -0.017739 -0.700528
1779361435.469824 -11.494095 18.690238 0.310744 0.711464 0.051955 -0.017770 -0.700574
1779361435.595492 -11.494122 18.690651 0.310713 0.711477 0.051931 -0.017951 -0.700558
1779361435.750789 -11.494190 18.691127 0.310690 0.711449 0.051933 -0.017944 -0.700587
1779361435.888351 -11.494216 18.691209 0.310676 0.711461 0.051962 -0.017956 -0.700572
1779361436.029914 -11.494167 18.691235 0.310664 0.711465 0.051942 -0.017907 -0.700571
1779361436.169785 -11.494271 18.691234 0.310661 0.711459 0.052017 -0.017947 -0.700570
1779361436.309081 -11.494219 18.691226 0.310660 0.711427 0.051978 -0.018028 -0.700603
1779361436.450202 -11.494354 18.691293 0.310702 0.711419 0.052097 -0.018070 -0.700601
1779361436.589834 -11.494450 18.691343 0.310744 0.711380 0.052162 -0.018142 -0.700634
1779361436.733149 -11.494484 18.692188 0.310650 0.711155 0.051875 -0.018261 -0.700881
1779361436.873922 -11.492875 18.709462 0.304303 0.711426 0.043372 -0.022180 -0.701070
1779361437.024947 -11.502815 18.760316 0.297712 0.713569 0.044496 -0.025501 -0.698705
1779361437.157229 -11.519459 18.844633 0.294124 0.717590 0.045125 -0.033513 -0.694194
1779361437.302505 -11.528945 18.935762 0.308689 0.708262 0.046184 -0.028187 -0.703873
1779361437.435157 -11.542877 19.050226 0.303868 0.714137 0.048263 -0.021228 -0.698017
1779361437.576494 -11.554891 19.160719 0.295006 0.717155 0.049468 -0.029121 -0.694545
1779361437.730745 -11.559974 19.238056 0.307158 0.712989 0.042501 -0.039370 -0.698778
1779361437.861559 -11.569949 19.330885 0.301039 0.714817 0.044564 -0.036256 -0.696948
1779361438.000786 -11.580606 19.394109 0.308047 0.711422 0.048740 -0.032828 -0.700304
1779361438.139099 -11.597199 19.487490 0.302981 0.711431 0.050758 -0.040274 -0.699762
1779361438.280533 -11.602660 19.561092 0.308025 0.708894 0.048883 -0.043075 -0.702299
1779361438.419982 -11.599988 19.641065 0.305360 0.708486 0.039615 -0.022709 -0.704246
1779361438.558179 -11.603291 19.711796 0.310225 0.710611 0.034749 -0.010065 -0.702654
1779361438.701036 -11.607501 19.794364 0.304739 0.712417 0.029455 -0.010216 -0.701064
1779361438.841350 -11.606030 19.864658 0.299367 0.715387 0.024294 -0.013657 -0.698172
1779361438.985215 -11.605298 19.946816 0.303008 0.713719 0.014804 -0.015149 -0.700111
1779361439.124802 -11.608052 20.024198 0.302837 0.717016 0.018317 -0.004591 -0.696801
1779361439.264930 -11.616109 20.096604 0.306895 0.714527 0.022015 -0.005945 -0.699236
1779361439.404336 -11.607607 20.181397 0.299057 0.716358 0.010963 0.002828 -0.697641
1779361439.543506 -11.590669 20.249176 0.308169 0.713929 -0.012182 0.007854 -0.700068
1779361439.683674 -11.575225 20.328974 0.298831 0.716128 -0.017428 0.022606 -0.697385
1779361439.829550 -11.570311 20.417219 0.311427 0.710763 -0.017906 0.029920 -0.702567
1779361439.967244 -11.566789 20.533959 0.305216 0.708697 -0.024445 0.021333 -0.704766
1779361440.107966 -11.562067 20.649895 0.309153 0.712821 -0.018548 0.037218 -0.700112
1779361440.246129 -11.559280 20.746080 0.304854 0.714426 -0.022008 0.041082 -0.698157
1779361440.388893 -11.555905 20.853616 0.307838 0.712544 -0.023037 0.034765 -0.700387
1779361440.555791 -11.539763 20.969050 0.311827 0.708005 -0.034184 0.026175 -0.704894
1779361440.667159 -11.525139 21.066363 0.311239 -0.706000 0.029556 -0.039476 0.706493
1779361440.813337 -11.512125 21.193646 0.305502 0.718435 -0.024442 0.052712 -0.693163
1779361440.951040 -11.500720 21.340157 0.298519 0.722792 -0.036474 0.031931 -0.689364
1779361441.091370 -11.481955 21.478496 0.301282 0.720679 -0.032965 0.041003 -0.691270
1779361441.236720 -11.466036 21.604549 0.307299 0.714415 -0.032603 0.043701 -0.697594
1779361441.379543 -11.449088 21.706016 0.298734 0.721754 -0.036860 0.034248 -0.690319
1779361441.514959 -11.394519 21.839720 0.304052 0.713721 -0.067458 0.064626 -0.694172
1779361441.654058 -11.351652 21.980516 0.316870 -0.698046 0.079893 -0.093175 0.705455
1779361441.793170 -11.302963 22.116092 0.310024 0.706737 -0.107412 0.089206 -0.693561
1779361441.933259 -11.243986 22.236460 0.297517 0.714389 -0.114813 0.110889 -0.681300
1779361442.076325 -11.180217 22.393992 0.293019 0.710142 -0.112838 0.120307 -0.684465
1779361442.216978 -11.151105 22.480575 0.300417 0.713486 -0.111671 0.125393 -0.680253
1779361442.355251 -11.119350 22.580448 0.299350 0.708255 -0.116620 0.124942 -0.684956
1779361442.496557 -11.082350 22.677534 0.303807 0.707892 -0.116862 0.122546 -0.685722
1779361442.637131 -11.049048 22.764266 0.305089 0.707034 -0.118844 0.122232 -0.686322
1779361442.783124 -11.002640 22.843509 0.303341 0.705721 -0.132150 0.149032 -0.679915
1779361442.918849 -10.958577 22.910370 0.309361 0.701308 -0.147760 0.169256 -0.676526
1779361443.055886 -10.906078 22.987068 0.299743 0.699070 -0.165282 0.175185 -0.673271
1779361443.200204 -10.835979 23.037314 0.306575 0.686991 -0.209256 0.201954 -0.665935
1779361443.339458 -10.757433 23.092399 0.308534 0.674094 -0.232671 0.246733 -0.656189
1779361443.479689 -10.700957 23.141618 0.314827 0.665851 -0.244805 0.273201 -0.649673
1779361443.618172 -10.627933 23.214828 0.310366 0.659376 -0.262083 0.269521 -0.651071
1779361443.761676 -10.559937 23.273351 0.317182 0.657897 -0.262314 0.283410 -0.646562
1779361443.901877 -10.486000 23.336099 0.308476 0.657440 -0.270884 0.291370 -0.639920
1779361444.040614 -10.409609 23.400599 0.317573 0.645321 -0.279185 0.306328 -0.641701
1779361444.195698 -10.280685 23.445243 0.307458 0.626610 -0.345910 0.320952 -0.620239
1779361444.327298 -10.160665 23.481579 0.310519 0.615391 -0.367578 0.359811 -0.597257
1779361444.466406 -10.014846 23.531699 0.314651 -0.592781 0.384108 -0.384899 0.594074
1779361444.603929 -9.902023 23.545107 0.301939 0.582169 -0.417576 0.391441 -0.577480
1779361444.744393 -9.722684 23.558110 0.303124 0.556867 -0.443606 0.429606 -0.555474
1779361444.883144 -9.565678 23.580909 0.311844 -0.544947 0.439570 -0.458286 0.547527
