# raw base_link odometry (TUM format), robot's own estimator
1779361431.117045 -11.453676 18.374937 0.047188 0.025813 -0.028378 0.735614 0.676314
1779361431.129791 -11.453730 18.374907 0.047428 0.025490 -0.028425 0.735649 0.676287
1779361431.139077 -11.453794 18.374878 0.047623 0.025133 -0.028435 0.735634 0.676315
1779361431.141433 -11.453826 18.374863 0.047842 0.024501 -0.028056 0.735504 0.676495
1779361431.194155 -11.453808 18.374849 0.048095 0.023646 -0.027549 0.735434 0.676624
1779361431.196069 -11.453818 18.374866 0.048447 0.022705 -0.026756 0.735237 0.676901
1779361431.212233 -11.453864 18.374889 0.048790 0.021799 -0.026108 0.735129 0.677074
1779361431.213778 -11.453882 18.374928 0.049146 0.020803 -0.025229 0.735007 0.677271
1779361431.235344 -11.454011 18.374350 0.050457 0.019323 -0.024746 0.734818 0.677538
1779361431.255579 -11.454522 18.372246 0.055772 0.014893 -0.026485 0.734486 0.677943
1779361431.308436 -11.455231 18.367790 0.066604 0.011320 -0.027491 0.733768 0.678750
1779361431.362098 -11.455441 18.361626 0.082619 0.014509 -0.031588 0.734200 0.678043
1779361431.416226 -11.455373 18.355270 0.103787 0.018534 -0.033711 0.733882 0.678187
1779361431.468883 -11.455530 18.350695 0.128149 0.018653 -0.032833 0.733376 0.678774
1779361431.525204 -11.455999 18.349360 0.152779 0.015078 -0.029181 0.732739 0.679717
1779361431.575507 -11.456733 18.350195 0.178087 0.010121 -0.024249 0.732295 0.680480
1779361431.629941 -11.457685 18.352461 0.202609 0.005436 -0.020463 0.731659 0.681342
1779361431.683964 -11.458633 18.356207 0.221604 0.001351 -0.016808 0.731119 0.682042
1779361431.736007 -11.459665 18.360403 0.246957 -0.001599 -0.014437 0.730066 0.683222
1779361431.789602 -11.460734 18.365015 0.269479 -0.004136 -0.012710 0.729154 0.684219
1779361431.841424 -11.461624 18.369246 0.289109 -0.005718 -0.011371 0.728060 0.685395
1779361431.895385 -11.462135 18.373920 0.307536 -0.006420 -0.010957 0.726749 0.686786
1779361431.951346 -11.462522 18.379343 0.314454 -0.007110 -0.010068 0.726190 0.687384
1779361432.002192 -11.462432 18.384153 0.317173 -0.009459 -0.007204 0.725866 0.687733
1779361432.055648 -11.462147 18.387106 0.320713 -0.010577 -0.005379 0.725776 0.687829
1779361432.121326 -11.461801 18.387728 0.321800 -0.010641 -0.004647 0.725630 0.687987
1779361432.164979 -11.461659 18.386793 0.322168 -0.010488 -0.004738 0.725353 0.688281
1779361432.216069 -11.461719 18.384794 0.322257 -0.010320 -0.005253 0.725380 0.688251
1779361432.268295 -11.461781 18.382662 0.322292 -0.010146 -0.005731 0.725846 0.687759
1779361432.322130 -11.461848 18.381336 0.321089 -0.009890 -0.006091 0.726235 0.687349
1779361432.376926 -11.461816 18.380838 0.321843 -0.009715 -0.006218 0.726085 0.687508
1779361432.428939 -11.461822 18.381029 0.322182 -0.009703 -0.006190 0.725769 0.687842
1779361432.482259 -11.461865 18.381592 0.322278 -0.009775 -0.006167 0.725715 0.687898
1779361432.535375 -11.461897 18.382189 0.322337 -0.009895 -0.006066 0.725652 0.687965
1779361432.600101 -11.461909 18.382462 0.322352 -0.009918 -0.006032 0.725543 0.688079
1779361432.645349 -11.461906 18.382509 0.322358 -0.009979 -0.006026 0.725608 0.688009
1779361432.698859 -11.461902 18.382374 0.322353 -0.009952 -0.006074 0.725754 0.687856
1779361432.751467 -11.461885 18.382269 0.322360 -0.009904 -0.006083 0.725740 0.687871
1779361432.807230 -11.461876 18.382298 0.322316 -0.009920 -0.006039 0.725683 0.687931
1779361432.858407 -11.461858 18.382303 0.321845 -0.009907 -0.006028 0.725686 0.687929
1779361432.911942 -11.461855 18.382359 0.322231 -0.009962 -0.005984 0.725708 0.687905
1779361432.965640 -11.461857 18.382305 0.322291 -0.009901 -0.006038 0.725705 0.687909
1779361433.020472 -11.461847 18.382269 0.322321 -0.009859 -0.006068 0.725688 0.687927
1779361433.071675 -11.461813 18.382265 0.322343 -0.009835 -0.006032 0.725686 0.687929
1779361433.125196 -11.461845 18.382271 0.321386 -0.009870 -0.006051 0.725714 0.687899
1779361433.178664 -11.461884 18.382288 0.322053 -0.009928 -0.006077 0.725710 0.687903
1779361433.232074 -11.461824 18.382299 0.322280 -0.009855 -0.006001 0.725669 0.687947
1779361433.286156 -11.461787 18.382317 0.322348 -0.009822 -0.005964 0.725667 0.687950
1779361433.343714 -11.461784 18.382307 0.322356 -0.009858 -0.005950 0.725745 0.687868
1779361433.395363 -11.461831 18.382298 0.321436 -0.009880 -0.006012 0.725760 0.687850
1779361433.452173 -11.461811 18.382315 0.321128 -0.009869 -0.005988 0.725713 0.687901
1779361433.507458 -11.461764 18.382347 0.321956 -0.009850 -0.005921 0.725642 0.687976
1779361433.559431 -11.461553 18.378567 0.321119 -0.010237 -0.008047 0.726018 0.687552
1779361433.612259 -11.460853 18.379133 0.321301 -0.009593 -0.010066 0.727743 0.685709
1779361433.670353 -11.462286 18.376923 0.319710 -0.012581 -0.011350 0.730401 0.682808
1779361433.722197 -11.463126 18.374805 0.313456 -0.016811 -0.010636 0.733166 0.679759
1779361433.772312 -11.463411 18.374464 0.311583 -0.019532 -0.011659 0.734779 0.677925
1779361433.825969 -11.463542 18.375717 0.310640 -0.021012 -0.012386 0.736340 0.676173
1779361433.878530 -11.463681 18.377743 0.311509 -0.022373 -0.012568 0.737376 0.674995
1779361433.932119 -11.463914 18.379953 0.316122 -0.022886 -0.012595 0.737892 0.674413
1779361433.991515 -11.464215 18.381800 0.316875 -0.023184 -0.012558 0.738183 0.674085
1779361434.038504 -11.464408 18.383327 0.316987 -0.023438 -0.012440 0.738442 0.673795
1779361434.091716 -11.464519 18.384455 0.317418 -0.023440 -0.012311 0.738792 0.673414
1779361434.147095 -11.464548 18.385244 0.317095 -0.023353 -0.012219 0.738972 0.673221
1779361434.197857 -11.464497 18.385746 0.316920 -0.023353 -0.012185 0.739110 0.673069
1779361434.251944 -11.464569 18.386084 0.316800 -0.023402 -0.012253 0.739316 0.672840
1779361434.305892 -11.464556 18.386332 0.316689 -0.023371 -0.012230 0.739609 0.672520
1779361434.360289 -11.464501 18.386526 0.316586 -0.023328 -0.012182 0.739772 0.672343
1779361434.425120 -11.464464 18.386683 0.316540 -0.023329 -0.012171 0.739789 0.672324
1779361434.466658 -11.464462 18.386873 0.316523 -0.023285 -0.012190 0.739878 0.672227
1779361434.518719 -11.464569 18.387138 0.316508 -0.023317 -0.012141 0.740061 0.672026
1779361434.574982 -11.464598 18.387415 0.316484 -0.023311 -0.012108 0.740132 0.671948
1779361434.636271 -11.464496 18.387587 0.316420 -0.023185 -0.012079 0.740131 0.671954
1779361434.682109 -11.464527 18.387888 0.316378 -0.023070 -0.012063 0.740320 0.671750
1779361434.731263 -11.464533 18.388138 0.316383 -0.023040 -0.012036 0.740382 0.671684
1779361434.785953 -11.464526 18.388369 0.316344 -0.023000 -0.012002 0.740395 0.671671
1779361434.846594 -11.464572 18.388685 0.316326 -0.022948 -0.011965 0.740509 0.671548
1779361434.891385 -11.464546 18.388962 0.316294 -0.022877 -0.011906 0.740527 0.671531
1779361435.009974 -11.464594 18.389334 0.316258 -0.022950 -0.011861 0.740550 0.671505
1779361435.016449 -11.464643 18.389677 0.316263 -0.022962 -0.011888 0.740502 0.671556
1779361435.053569 -11.464630 18.389969 0.316251 -0.022937 -0.011866 0.740525 0.671533
1779361435.111515 -11.464622 18.390282 0.316203 -0.022846 -0.011799 0.740586 0.671469
1779361435.158576 -11.464626 18.390587 0.316176 -0.022783 -0.011775 0.740665 0.671385
1779361435.214433 -11.464674 18.390936 0.316135 -0.022780 -0.011729 0.740700 0.671348
1779361435.270712 -11.464669 18.391159 0.316092 -0.022748 -0.011718 0.740743 0.671302
1779361435.324441 -11.464689 18.391354 0.316097 -0.022634 -0.011659 0.740902 0.671131
1779361435.375568 -11.464645 18.391518 0.316086 -0.022607 -0.011615 0.740863 0.671175
1779361435.428469 -11.464670 18.391659 0.316076 -0.022562 -0.011615 0.740882 0.671155
