# camera_optical trajectory from onboard odometry (NOT ground truth)
1779360776.904888 6.123924 24.194442 0.108759 0.015401 -0.653560 0.756653 -0.009937
1779360777.037688 6.122970 24.214259 0.155891 0.014237 -0.649082 0.760518 -0.010121
1779360777.179965 6.121574 24.222433 0.211465 0.011823 -0.660007 0.751093 -0.010479
1779360777.328706 6.121280 24.215278 0.267304 0.010777 -0.674102 0.738505 -0.009043
1779360777.487401 6.123145 24.202145 0.320962 0.011980 -0.681277 0.731887 -0.007656
1779360777.599845 6.124757 24.191187 0.338417 0.013149 -0.684507 0.728845 -0.007810
1779360777.740313 6.123702 24.187712 0.338693 0.012052 -0.686647 0.726852 -0.007488
1779360777.896294 6.124561 24.194027 0.339605 0.013143 -0.685513 0.727900 -0.007802
1779360778.020248 6.124545 24.195009 0.339777 0.013141 -0.685225 0.728171 -0.007800
1779360778.160342 6.124493 24.193936 0.339708 0.013044 -0.685427 0.727984 -0.007699
1779360778.304451 6.124628 24.193983 0.339727 0.013205 -0.685413 0.727994 -0.007742
1779360778.442305 6.124453 24.193878 0.339673 0.012999 -0.685493 0.727923 -0.007644
1779360778.579588 6.124546 24.193933 0.339698 0.013095 -0.685457 0.727955 -0.007664
1779360778.721736 6.124458 24.193920 0.339709 0.013002 -0.685450 0.727964 -0.007638
1779360778.862575 6.124469 24.193916 0.339698 0.013008 -0.685464 0.727952 -0.007536
1779360779.000962 6.124557 24.193909 0.339692 0.013109 -0.685471 0.727943 -0.007553
1779360779.148092 6.124478 24.194107 0.339589 0.013242 -0.685403 0.728006 -0.007402
1779360779.283871 6.130910 24.201496 0.341000 0.023317 -0.685675 0.727495 -0.007574
1779360779.426312 6.137162 24.203517 0.333256 0.033183 -0.690767 0.722266 -0.008471
1779360779.569592 6.139845 24.197258 0.331911 0.037835 -0.691560 0.721265 -0.009517
1779360779.708501 6.140756 24.193956 0.331895 0.038461 -0.691622 0.721161 -0.010361
1779360779.845927 6.141051 24.191970 0.331879 0.038620 -0.691707 0.721066 -0.010678
1779360779.985568 6.141355 24.190635 0.331952 0.038796 -0.691698 0.721061 -0.010897
1779360780.135830 6.141422 24.189482 0.331993 0.038793 -0.691726 0.721032 -0.011043
1779360780.274995 6.141557 24.188768 0.331924 0.038868 -0.691815 0.720942 -0.011191
1779360780.409133 6.140776 24.183251 0.331609 0.035278 -0.691837 0.721078 -0.012786
1779360780.551053 6.136782 24.156193 0.320826 0.024738 -0.695276 0.718136 -0.016122
1779360780.697407 6.139368 24.119057 0.314952 0.022699 -0.700076 0.713335 -0.023039
1779360780.830062 6.145858 24.067876 0.309433 0.029653 -0.698190 0.714993 -0.020892
1779360780.974307 6.152533 23.994473 0.320745 0.022474 -0.692261 0.720784 -0.027204
1779360781.112224 6.153680 23.899188 0.315000 0.032446 -0.699821 0.713508 -0.010203
1779360781.257117 6.164206 23.777895 0.312618 0.034731 -0.704022 0.709180 -0.014511
1779360781.394729 6.176660 23.652142 0.310108 0.028336 -0.705952 0.707184 -0.026823
1779360781.535230 6.182843 23.524489 0.312803 0.038694 -0.703955 0.709076 -0.012705
