# raw base_link odometry (TUM format), robot's own estimator
1779360776.309480 6.112373 24.484888 0.050418 -0.053959 -0.055552 -0.689281 0.720344
1779360776.362210 6.112404 24.484703 0.050441 -0.053908 -0.055680 -0.689263 0.720354
1779360776.415896 6.112432 24.484484 0.050482 -0.053803 -0.055860 -0.689404 0.720213
1779360776.475783 6.112447 24.484213 0.050576 -0.053690 -0.056005 -0.689761 0.719869
1779360776.524936 6.112485 24.483957 0.050626 -0.053619 -0.056086 -0.690047 0.719594
1779360776.575941 6.112600 24.483669 0.050673 -0.053656 -0.056043 -0.690422 0.719234
1779360776.628799 6.112697 24.483368 0.050756 -0.053638 -0.056111 -0.690858 0.718812
1779360776.686098 6.112800 24.483080 0.050841 -0.053672 -0.056090 -0.691261 0.718423
1779360776.735512 6.112887 24.482786 0.050924 -0.053754 -0.056144 -0.691632 0.718055
1779360776.789324 6.112908 24.483456 0.051464 -0.053773 -0.055477 -0.692018 0.717734
1779360776.843830 6.113166 24.485868 0.057497 -0.054966 -0.052671 -0.691475 0.718378
1779360776.899911 6.113042 24.490385 0.064005 -0.054137 -0.048739 -0.692436 0.717793
1779360776.953200 6.112967 24.497618 0.076647 -0.055655 -0.049549 -0.692448 0.717610
1779360777.002127 6.112736 24.505630 0.094438 -0.058519 -0.053410 -0.692430 0.717122
1779360777.055750 6.112429 24.512756 0.116090 -0.057398 -0.053787 -0.692718 0.716906
1779360777.113215 6.112228 24.517897 0.138090 -0.053502 -0.050746 -0.693449 0.716722
1779360777.161052 6.112076 24.519831 0.163173 -0.048415 -0.046972 -0.694131 0.716681
1779360777.212107 6.112131 24.519733 0.189470 -0.042474 -0.041300 -0.694840 0.716720
1779360777.271729 6.112295 24.517578 0.213307 -0.037297 -0.036516 -0.695530 0.716599
1779360777.324370 6.112805 24.514236 0.238259 -0.033282 -0.031619 -0.696393 0.716191
1779360777.377203 6.113326 24.510336 0.259737 -0.030682 -0.028151 -0.696393 0.716452
1779360777.429799 6.113980 24.505672 0.280586 -0.028524 -0.025318 -0.696538 0.716505
1779360777.485434 6.114722 24.501457 0.298925 -0.027457 -0.023162 -0.696784 0.716381
1779360777.536093 6.115565 24.496408 0.314529 -0.027716 -0.022675 -0.696280 0.716877
1779360777.588879 6.115809 24.491131 0.319449 -0.025197 -0.019827 -0.696094 0.717234
1779360777.640102 6.115763 24.488022 0.320393 -0.023522 -0.018298 -0.696574 0.716866
1779360777.695715 6.115518 24.486799 0.321333 -0.022607 -0.017824 -0.697058 0.716436
1779360777.747378 6.115336 24.487162 0.321725 -0.022349 -0.017820 -0.696968 0.716533
1779360777.798780 6.115352 24.489220 0.321804 -0.022766 -0.018066 -0.696625 0.716846
1779360777.852066 6.115510 24.491861 0.321732 -0.023429 -0.018343 -0.696396 0.717041
1779360777.909451 6.115642 24.493801 0.321645 -0.023994 -0.018577 -0.696186 0.717220
1779360777.976545 6.115650 24.494501 0.321598 -0.024230 -0.018773 -0.696130 0.717262
1779360778.018035 6.115597 24.494349 0.321599 -0.024149 -0.018807 -0.696225 0.717171
1779360778.067988 6.115599 24.493797 0.321637 -0.024025 -0.018709 -0.696284 0.717121
1779360778.118835 6.115624 24.493364 0.321679 -0.023966 -0.018626 -0.696296 0.717113
1779360778.179297 6.115632 24.493217 0.321704 -0.023945 -0.018597 -0.696351 0.717060
1779360778.237736 6.115642 24.493248 0.321709 -0.023966 -0.018589 -0.696319 0.717092
1779360778.279042 6.115661 24.493296 0.321707 -0.024003 -0.018566 -0.696227 0.717180
1779360778.332360 6.115693 24.493319 0.321705 -0.024043 -0.018550 -0.696233 0.717174
1779360778.385207 6.115654 24.493252 0.321709 -0.023951 -0.018553 -0.696323 0.717089
1779360778.435414 6.115631 24.493208 0.321714 -0.023892 -0.018538 -0.696391 0.717025
1779360778.499985 6.115635 24.493225 0.321716 -0.023899 -0.018533 -0.696345 0.717070
1779360778.548673 6.115685 24.493263 0.321713 -0.023978 -0.018515 -0.696292 0.717119
1779360778.600696 6.115667 24.493261 0.321712 -0.023954 -0.018546 -0.696350 0.717063
1779360778.652204 6.115621 24.493223 0.321715 -0.023891 -0.018562 -0.696417 0.716999
1779360778.705507 6.115626 24.493240 0.321716 -0.023921 -0.018579 -0.696404 0.717010
1779360778.758902 6.115665 24.493273 0.321713 -0.023980 -0.018566 -0.696347 0.717064
1779360778.827905 6.115713 24.493263 0.321714 -0.024012 -0.018501 -0.696368 0.717044
1779360778.874973 6.115679 24.493242 0.321716 -0.023969 -0.018510 -0.696460 0.716957
1779360778.924969 6.115658 24.493244 0.321717 -0.023956 -0.018531 -0.696448 0.716968
1779360778.981409 6.115714 24.493231 0.321718 -0.023997 -0.018461 -0.696381 0.717033
