# camera_optical trajectory from onboard odometry (NOT ground truth)
1779361284.948678 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.086595 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.234977 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.370133 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.557552 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.670573 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.794225 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361285.983471 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361286.160418 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361286.291017 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361286.448025 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361286.596248 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361286.704665 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361286.962142 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.091116 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.197650 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.336966 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.524883 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.646872 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.808248 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361287.917647 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.042205 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.182480 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.326761 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.474046 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.622861 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.747967 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361288.942846 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.104096 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.225799 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.327857 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.445089 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.628358 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.732609 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361289.868535 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.013012 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.155654 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.288138 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.432838 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.572736 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.711580 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.858349 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361290.994174 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.159359 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.276759 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.413896 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.560313 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.706541 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.851377 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361291.974605 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.089449 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.190748 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.350778 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.470476 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.612462 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.754452 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361292.887649 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.039789 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.178779 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.312583 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.454578 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.614554 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.753854 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361293.870942 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361294.017568 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361294.123271 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361294.242204 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779361294.367014 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
