# raw base_link odometry (TUM format), robot's own estimator
1779361284.736473 -12.079054 22.023069 0.319047 -0.002798 0.005486 -0.600110 -0.799894
1779361284.764566 -12.079033 22.023075 0.319055 -0.002808 0.005482 -0.600136 -0.799874
1779361284.846269 -12.079120 22.023052 0.319048 -0.002761 0.005592 -0.600201 -0.799825
1779361284.867411 -12.079135 22.023069 0.319048 -0.002722 0.005592 -0.600185 -0.799837
1779361284.924459 -12.079110 22.023075 0.319058 -0.002737 0.005562 -0.600153 -0.799861
1779361284.972373 -12.079101 22.023081 0.319068 -0.002727 0.005549 -0.600205 -0.799822
1779361285.033274 -12.079161 22.023062 0.319076 -0.002693 0.005633 -0.600272 -0.799772
1779361285.079283 -12.079215 22.023069 0.319092 -0.002642 0.005671 -0.600274 -0.799770
1779361285.135119 -12.079170 22.023048 0.319085 -0.002711 0.005653 -0.600171 -0.799848
1779361285.191381 -12.079123 22.023071 0.319092 -0.002731 0.005587 -0.600137 -0.799873
1779361285.242208 -12.079165 22.023073 0.319060 -0.002686 0.005623 -0.600216 -0.799814
1779361285.319715 -12.079203 22.023081 0.319072 -0.002649 0.005655 -0.600233 -0.799801
1779361285.346132 -12.079164 22.023048 0.319081 -0.002706 0.005634 -0.600172 -0.799847
1779361285.411752 -12.079091 22.023067 0.319070 -0.002755 0.005530 -0.600137 -0.799873
1779361285.456310 -12.079103 22.023100 0.319074 -0.002701 0.005532 -0.600202 -0.799825
1779361285.571451 -12.079165 22.023106 0.319082 -0.002648 0.005577 -0.600278 -0.799768
1779361285.660642 -12.079128 22.023083 0.319060 -0.002691 0.005571 -0.600245 -0.799792
1779361285.662890 -12.079067 22.023088 0.319052 -0.002752 0.005482 -0.600212 -0.799818
1779361285.686025 -12.079074 22.023104 0.319050 -0.002726 0.005486 -0.600265 -0.799778
1779361285.755807 -12.079127 22.023117 0.319064 -0.002655 0.005526 -0.600331 -0.799728
1779361285.780231 -12.079114 22.023129 0.319068 -0.002646 0.005494 -0.600340 -0.799722
1779361285.832157 -12.079075 22.023146 0.319069 -0.002669 0.005430 -0.600286 -0.799763
1779361285.886827 -12.079068 22.023165 0.319086 -0.002661 0.005418 -0.600282 -0.799766
1779361285.978564 -12.079124 22.023153 0.319101 -0.002620 0.005489 -0.600383 -0.799689
1779361286.010212 -12.079149 22.023130 0.319060 -0.002610 0.005529 -0.600413 -0.799667
1779361286.049634 -12.079135 22.023092 0.319063 -0.002690 0.005550 -0.600338 -0.799723
1779361286.112986 -12.079084 22.023075 0.319056 -0.002746 0.005522 -0.600304 -0.799748
1779361286.164740 -12.079103 22.023058 0.319043 -0.002752 0.005565 -0.600373 -0.799696
1779361286.281396 -12.079157 22.023024 0.319039 -0.002739 0.005631 -0.600432 -0.799651
1779361286.327945 -12.079123 22.023008 0.319047 -0.002787 0.005608 -0.600421 -0.799660
1779361286.332427 -12.079067 22.023001 0.319068 -0.002848 0.005559 -0.600355 -0.799709
1779361286.380534 -12.079067 22.023018 0.319071 -0.002828 0.005544 -0.600386 -0.799686
1779361286.443404 -12.079115 22.022980 0.319068 -0.002833 0.005633 -0.600387 -0.799685
1779361286.478080 -12.079126 22.022976 0.319084 -0.002838 0.005645 -0.600355 -0.799709
1779361286.593884 -12.079076 22.022949 0.319075 -0.002915 0.005627 -0.600284 -0.799762
1779361286.691059 -12.079068 22.022953 0.319064 -0.002913 0.005610 -0.600291 -0.799756
1779361286.700042 -12.079087 22.022989 0.319059 -0.002868 0.005594 -0.600351 -0.799712
1779361286.702339 -12.079130 22.022980 0.319065 -0.002831 0.005644 -0.600384 -0.799687
1779361286.774650 -12.079113 22.022963 0.319064 -0.002853 0.005650 -0.600322 -0.799733
1779361286.954877 -12.079077 22.022940 0.319070 -0.002903 0.005636 -0.600324 -0.799732
1779361287.493462 -12.079123 22.022947 0.319074 -0.002874 0.005680 -0.600389 -0.799683
1779361287.496109 -12.079166 22.022863 0.319061 -0.002937 0.005816 -0.600374 -0.799693
1779361287.513260 -12.079154 22.022894 0.319051 -0.002914 0.005772 -0.600335 -0.799723
1779361287.517376 -12.079149 22.022949 0.319046 -0.002837 0.005731 -0.600402 -0.799673
1779361287.544147 -12.079206 22.022943 0.319064 -0.002790 0.005779 -0.600495 -0.799603
1779361287.547549 -12.079155 22.022886 0.319033 -0.002918 0.005773 -0.600401 -0.799673
1779361287.567267 -12.079157 22.022924 0.319037 -0.002862 0.005744 -0.600409 -0.799667
1779361287.570145 -12.079186 22.022909 0.319050 -0.002846 0.005781 -0.600460 -0.799629
1779361287.584356 -12.079202 22.022902 0.319040 -0.002851 0.005800 -0.600498 -0.799600
1779361287.596367 -12.079142 22.022884 0.319072 -0.002934 0.005759 -0.600386 -0.799684
1779361287.629577 -12.079136 22.022930 0.319081 -0.002881 0.005716 -0.600452 -0.799636
1779361287.635909 -12.079203 22.022921 0.319075 -0.002829 0.005801 -0.600480 -0.799614
1779361287.651775 -12.080428 22.020668 0.319774 -0.001078 0.008849 -0.600927 -0.799254
1779361287.703122 -12.081197 22.021460 0.322307 -0.000787 0.010047 -0.603462 -0.797329
1779361287.814310 -12.083089 22.018646 0.318613 0.002666 0.011440 -0.606637 -0.794892
1779361287.824181 -12.084556 22.016890 0.315467 0.006367 0.009513 -0.609423 -0.792762
1779361287.869974 -12.085117 22.017117 0.314045 0.008411 0.009778 -0.611388 -0.791226
1779361287.918487 -12.084440 22.018534 0.313372 0.010299 0.010260 -0.612659 -0.790214
1779361287.988029 -12.083885 22.020527 0.312912 0.011875 0.010551 -0.614243 -0.788957
1779361288.021346 -12.083326 22.022686 0.312711 0.012615 0.010891 -0.615285 -0.788128
1779361288.074617 -12.082983 22.024340 0.312494 0.013193 0.010856 -0.615750 -0.787757
1779361288.126932 -12.082820 22.025974 0.312302 0.013881 0.010895 -0.616438 -0.787206
1779361288.208531 -12.082724 22.027304 0.312240 0.014160 0.010918 -0.617038 -0.786730
1779361288.233049 -12.082565 22.028217 0.312181 0.014236 0.010828 -0.617414 -0.786435
1779361288.302706 -12.082300 22.029007 0.312194 0.014187 0.010862 -0.617467 -0.786394
1779361288.339791 -12.082091 22.029696 0.312213 0.014138 0.010835 -0.617536 -0.786341
1779361288.404878 -12.081953 22.030245 0.312175 0.014175 0.010720 -0.617606 -0.786287
1779361288.444301 -12.081813 22.030752 0.312137 0.014241 0.010642 -0.617639 -0.786261
