# camera_optical trajectory from onboard odometry (NOT ground truth)
1778753752.474293 2.021649 -12.976224 0.321650 0.101549 0.702019 -0.696438 -0.108767
1778753752.612108 2.023778 -12.971856 0.322635 0.100564 0.701362 -0.697295 -0.108433
1778753752.750673 2.023757 -12.971554 0.322863 0.100671 0.701145 -0.697461 -0.108668
1778753752.894127 2.023453 -12.972503 0.322745 0.100710 0.701339 -0.697266 -0.108639
1778753753.030620 2.023472 -12.972251 0.322812 0.100747 0.701242 -0.697365 -0.108589
1778753753.174474 2.023386 -12.972304 0.322819 0.100840 0.701235 -0.697345 -0.108678
1778753753.312927 2.023523 -12.972261 0.322847 0.100699 0.701209 -0.697394 -0.108660
1778753753.453430 2.023397 -12.972212 0.322882 0.100841 0.701142 -0.697444 -0.108641
1778753753.595178 2.023419 -12.972206 0.322885 0.100820 0.701149 -0.697443 -0.108626
1778753753.732851 2.023485 -12.972188 0.322912 0.100738 0.701124 -0.697487 -0.108571
1778753753.871157 2.024349 -12.970861 0.322033 0.097152 0.700615 -0.698209 -0.110474
1778753754.021715 2.035102 -12.967333 0.312998 0.085453 0.704892 -0.696074 -0.106329
1778753754.156778 2.038894 -12.970017 0.308075 0.078855 0.707441 -0.694550 -0.104446
1778753754.295312 2.039951 -12.975888 0.308941 0.074781 0.709033 -0.693582 -0.103074
1778753754.440841 2.039895 -12.978869 0.308937 0.073647 0.709420 -0.693423 -0.102292
1778753754.573803 2.040032 -12.980331 0.308952 0.073294 0.709354 -0.693660 -0.101399
1778753754.717685 2.040064 -12.981538 0.308805 0.072841 0.709350 -0.693816 -0.100679
1778753754.854892 2.040005 -12.982506 0.308648 0.072538 0.709432 -0.693805 -0.100400
1778753754.995761 2.039951 -12.983069 0.308446 0.072413 0.709571 -0.693688 -0.100311
1778753755.140316 2.040165 -12.983574 0.308354 0.072100 0.709645 -0.693671 -0.100130
1778753755.275277 2.040147 -12.984096 0.308342 0.071961 0.709668 -0.693667 -0.100093
1778753755.413906 2.040215 -12.984549 0.308202 0.071834 0.709756 -0.693623 -0.099866
1778753755.556911 2.040313 -12.984936 0.308050 0.071682 0.709847 -0.693580 -0.099627
