# raw base_link odometry (TUM format), robot's own estimator
1778755152.924753 -4.552030 -29.082884 0.051767 0.029408 -0.042719 0.762029 0.645463
1778755152.973301 -4.552062 -29.082846 0.051844 0.029493 -0.042621 0.761968 0.645537
1778755153.029741 -4.552104 -29.082819 0.051934 0.029498 -0.042512 0.761912 0.645610
1778755153.082561 -4.552157 -29.082783 0.051998 0.029538 -0.042340 0.761893 0.645643
1778755153.133270 -4.552216 -29.082724 0.052080 0.029530 -0.042105 0.761789 0.645780
1778755153.184852 -4.552281 -29.082674 0.052126 0.029603 -0.041877 0.761691 0.645908
1778755153.256640 -4.552359 -29.082619 0.052173 0.029620 -0.041726 0.761480 0.646165
1778755153.291426 -4.552419 -29.082575 0.052198 0.029599 -0.041634 0.761373 0.646299
1778755153.360037 -4.552476 -29.082520 0.052209 0.029615 -0.041520 0.761336 0.646348
1778755153.400104 -4.552545 -29.082476 0.052289 0.029688 -0.041331 0.761157 0.646568
1778755153.453272 -4.552566 -29.082699 0.052468 0.029638 -0.041409 0.760881 0.646891
1778755153.506843 -4.551988 -29.083992 0.056243 0.027896 -0.040110 0.760757 0.647195
1778755153.564228 -4.551804 -29.087145 0.063972 0.021894 -0.039011 0.760344 0.647978
1778755153.612736 -4.551522 -29.092976 0.075928 0.021826 -0.040411 0.759954 0.648353
1778755153.666319 -4.550715 -29.100246 0.093833 0.027909 -0.044076 0.759781 0.648082
1778755153.721733 -4.550076 -29.106979 0.116334 0.031041 -0.045199 0.759577 0.648102
1778755153.774526 -4.550129 -29.111067 0.140277 0.028839 -0.043038 0.759313 0.648660
1778755153.826239 -4.550642 -29.112434 0.165678 0.024306 -0.038794 0.759115 0.649345
1778755153.879072 -4.551577 -29.111422 0.190518 0.018991 -0.034594 0.758916 0.649992
1778755153.935063 -4.552878 -29.108835 0.213512 0.014150 -0.030692 0.758753 0.650501
1778755153.988274 -4.554458 -29.105593 0.236393 0.009853 -0.027800 0.758277 0.651265
1778755154.039828 -4.556198 -29.101851 0.258174 0.006530 -0.026189 0.757941 0.651765
1778755154.094415 -4.557772 -29.098249 0.277941 0.004240 -0.024535 0.757915 0.651879
1778755154.146907 -4.559276 -29.094084 0.297282 0.002983 -0.023642 0.757414 0.652500
1778755154.198464 -4.560553 -29.090094 0.312878 0.003116 -0.024046 0.756879 0.653105
1778755154.251936 -4.561270 -29.084991 0.318990 0.000857 -0.021701 0.756341 0.653817
1778755154.305887 -4.561689 -29.080784 0.321000 -0.001299 -0.019366 0.755984 0.654302
1778755154.359415 -4.561753 -29.078924 0.322163 -0.002243 -0.018169 0.756177 0.654111
1778755154.415990 -4.561749 -29.079014 0.322607 -0.002440 -0.018030 0.756222 0.654063
1778755154.466417 -4.561652 -29.080561 0.322754 -0.002358 -0.018297 0.756158 0.654129
1778755154.522801 -4.561415 -29.082506 0.322779 -0.002139 -0.018585 0.756519 0.653704
1778755154.569842 -4.561128 -29.083799 0.322761 -0.001874 -0.018734 0.756990 0.653155
1778755154.623553 -4.560933 -29.084810 0.322736 -0.001605 -0.018902 0.756927 0.653224
1778755154.672625 -4.560883 -29.085133 0.322721 -0.001475 -0.018969 0.756709 0.653476
1778755154.726008 -4.560909 -29.084944 0.322728 -0.001505 -0.018931 0.756651 0.653543
1778755154.792863 -4.560943 -29.084612 0.322743 -0.001577 -0.018845 0.756566 0.653644
1778755154.837625 -4.560984 -29.084339 0.322760 -0.001630 -0.018771 0.756438 0.653794
1778755154.898682 -4.561024 -29.084150 0.322772 -0.001706 -0.018722 0.756407 0.653831
1778755154.942127 -4.560996 -29.084122 0.322779 -0.001686 -0.018676 0.756402 0.653838
1778755154.997526 -4.560988 -29.084200 0.322778 -0.001646 -0.018732 0.756457 0.653773
1778755155.050324 -4.561008 -29.084232 0.322776 -0.001657 -0.018781 0.756545 0.653670
1778755155.102957 -4.561012 -29.084248 0.322775 -0.001636 -0.018796 0.756489 0.653734
1778755155.157943 -4.561001 -29.084200 0.322778 -0.001644 -0.018750 0.756389 0.653852
1778755155.208839 -4.561014 -29.084148 0.322782 -0.001707 -0.018716 0.756390 0.653851
1778755155.262663 -4.561045 -29.084183 0.322782 -0.001712 -0.018788 0.756447 0.653783
1778755155.321040 -4.561062 -29.084183 0.322780 -0.001735 -0.018799 0.756505 0.653716
1778755155.369726 -4.561041 -29.084181 0.322781 -0.001721 -0.018765 0.756442 0.653790
1778755155.423207 -4.561038 -29.084139 0.322784 -0.001761 -0.018725 0.756375 0.653868
1778755155.476703 -4.561064 -29.084112 0.322786 -0.001811 -0.018722 0.756414 0.653823
1778755155.544864 -4.561092 -29.084108 0.322786 -0.001854 -0.018736 0.756458 0.653772
1778755155.582424 -4.561085 -29.084114 0.322786 -0.001831 -0.018732 0.756414 0.653822
1778755155.635516 -4.561038 -29.084122 0.322786 -0.001778 -0.018712 0.756374 0.653870
1778755155.688308 -4.561045 -29.084105 0.322787 -0.001795 -0.018698 0.756378 0.653865
1778755155.740020 -4.561081 -29.084114 0.322788 -0.001813 -0.018748 0.756380 0.653862
1778755155.792540 -4.561088 -29.084099 0.322787 -0.001836 -0.018728 0.756361 0.653884
1778755155.846076 -4.560214 -29.087507 0.321149 -0.002519 -0.021161 0.756592 0.653540
1778755155.899007 -4.559546 -29.087727 0.322373 -0.002158 -0.021672 0.758617 0.651172
1778755155.955411 -4.560454 -29.089878 0.323083 -0.004901 -0.023886 0.761043 0.648243
1778755156.005637 -4.560966 -29.092062 0.317830 -0.009199 -0.023727 0.763416 0.645406
1778755156.060607 -4.561320 -29.092209 0.316821 -0.011395 -0.024573 0.764937 0.643536
