# camera_optical trajectory from onboard odometry (NOT ground truth)
1779011119.718331 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011119.856383 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011119.994786 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.135672 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.280625 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.416766 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.560127 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.697213 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.837682 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011120.978400 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.119123 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.259660 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.397865 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.540627 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.685875 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.823225 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011121.965331 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.113184 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.241266 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.382598 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.523250 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.666316 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.806876 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011122.945683 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.084815 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.232998 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.366582 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.534384 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.649971 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.799007 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011123.931414 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.072769 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.208884 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.350612 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.497008 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.629705 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.773663 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011124.919599 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.058834 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.194330 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.338181 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.474781 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.621793 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.764807 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011125.901312 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.038450 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.177503 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.318196 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.456578 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.602286 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.736900 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011126.881835 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.021858 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.164587 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.302284 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.442209 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.581883 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.720698 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011127.865213 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.008955 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.145978 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.285493 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.432393 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.567019 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.710293 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.846603 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011128.989759 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
1779011129.131738 0.300000 0.000000 0.000000 0.500000 -0.500000 0.500000 -0.500000
